#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	3163	3783	-	NBGELD_0006	24.3	8.3		
contig_6	271	756	+	NBGELD_0013	17.8	9.6		
contig_6	746	1114	-	NBGELD_0014	14.1	9.5		
contig_10	55	900	+	NBGELD_0018	31.8	5.2	PF03147.19|FDX-ACB, PF17759.6|tRNA_synthFbeta	PFAM:PF03147.19, PFAM:PF17759.6
contig_14	622	819	+	NBGELD_0025	7.9	9.4		RefSeq:WP_155175866.1, SO:0001217, UniParc:UPI000A4F856B, UniRef:UniRef100_A0A0M6WHH7, UniRef:UniRef50_A0A0M6WHH7, UniRef:UniRef90_A0A0M6WHH7
contig_14	869	1144	-	NBGELD_0026	10.3	4.5	PF01841.26|Transglut_core	PFAM:PF01841.26
contig_15	399	587	-	NBGELD_0027	7.0	8.9		RefSeq:WP_022091448.1, SO:0001217, UniParc:UPI0002E7639C, UniRef:UniRef100_A0A417JU09, UniRef:UniRef50_A0A417JU09, UniRef:UniRef90_A0A417JU09
contig_16	1354	1473	-	NBGELD_0032	4.0	8.1		
contig_21	1697	2503	-	NBGELD_0039	30.7	6.1		SO:0001217, UniRef:UniRef50_A0A317UB22, UniRef:UniRef90_UPI001D079A57
contig_21	2475	2615	-	NBGELD_0040	5.3	5.2		
contig_23	673	1092	-	NBGELD_0042	15.3	6.5	PF16363.11|GDP_Man_Dehyd	PFAM:PF16363.11
contig_24	12	377	+	NBGELD_0043	13.8	9.0		
contig_24	1325	1513	-	NBGELD_0045	7.2	8.9		
contig_28	1869	2171	-	NBGELD_0049	11.2	6.1	PF19269.4|Anticodon_2	PFAM:PF19269.4
contig_36	186	743	+	NBGELD_0059	21.0	9.7		
contig_41	18	257	+	NBGELD_0065	9.1	4.7	PF09148.16|DUF1934	PFAM:PF09148.16
contig_42	499	891	+	NBGELD_0068	15.0	10.0		
contig_47	688	960	-	NBGELD_0075	10.6	4.6		
contig_53	5	559	+	NBGELD_0077	20.3	9.4	PF00497.25|SBP_bac_3	PFAM:PF00497.25
contig_54	32	265	+	NBGELD_0079	9.0	6.5		SO:0001217, UniRef:UniRef50_D4N0T4, UniRef:UniRef90_D4N0T4
contig_56	390	887	-	NBGELD_0081	18.2	9.3		
contig_58	19	306	+	NBGELD_0082	11.3	5.5		
contig_61	105	473	+	NBGELD_0085	14.1	4.8		
contig_62	99	497	+	NBGELD_0087	15.7	8.9		
contig_63	147	611	+	NBGELD_0088	17.6	5.9		
contig_63	712	1224	-	NBGELD_0089	20.1	6.1		
contig_64	65	601	-	NBGELD_0090	20.2	7.6		
contig_65	1058	1153	-	NBGELD_0092	3.5	6.5		
contig_76	87	563	-	NBGELD_0100	16.7	8.5		
contig_76	627	1235	-	NBGELD_0101	22.5	8.2		
contig_81	45	236	+	NBGELD_0107	7.4	8.0		
contig_92	45	221	+	NBGELD_0123	6.9	4.7		
contig_96	44	259	+	NBGELD_0129	7.7	4.6	PF00085.26|Thioredoxin	PFAM:PF00085.26
contig_103	2257	2520	-	NBGELD_0135	10.0	9.1	PF03450.22|CO_deh_flav_C	PFAM:PF03450.22
