clustername	contigname
1	k79_85683
1	k79_93657
1	k79_1578
1	k79_74385
1	k79_22903
1	k79_87507
1	k79_7689
1	k79_12912
1	k79_72317
1	k79_50327
1	k79_46646
1	k79_79720
1	k79_42590
1	k79_55580
1	k79_58140
1	k79_29533
1	k79_9911
1	k79_87412
1	k79_25906
1	k79_56736
1	k79_26711
1	k79_57581
1	k79_31386
1	k79_86563
1	k79_68424
1	k79_8819
1	k79_91548
1	k79_64183
1	k79_72343
1	k79_1121
1	k79_90134
1	k79_62644
1	k79_93739
1	k79_51833
1	k79_38519
1	k79_84878
1	k79_63292
1	k79_67706
1	k79_27830
1	k79_85264
1	k79_26774
1	k79_79045
1	k79_13283
1	k79_17140
1	k79_82069
1	k79_70696
1	k79_81723
1	k79_69194
1	k79_89861
1	k79_95739
1	k79_96449
1	k79_16690
1	k79_96970
1	k79_59043
1	k79_82537
1	k79_64231
1	k79_45576
1	k79_80051
1	k79_94242
1	k79_94576
1	k79_43420
1	k79_30216
1	k79_2610
1	k79_66421
1	k79_25512
1	k79_44406
1	k79_61183
1	k79_84996
1	k79_43207
1	k79_7913
1	k79_24338
1	k79_97197
1	k79_6469
1	k79_49437
1	k79_44761
1	k79_21462
1	k79_33304
1	k79_90321
1	k79_44552
1	k79_86513
1	k79_17704
1	k79_59134
1	k79_80394
1	k79_25370
1	k79_68390
1	k79_15179
1	k79_31605
1	k79_72794
1	k79_89892
1	k79_80142
1	k79_94787
1	k79_11514
1	k79_95506
1	k79_47765
1	k79_45193
1	k79_70152
1	k79_90347
1	k79_35474
1	k79_69675
1	k79_44516
1	k79_16101
1	k79_71472
1	k79_92058
1	k79_93758
1	k79_85374
1	k79_67050
1	k79_55014
1	k79_44669
1	k79_68349
1	k79_21193
1	k79_49496
1	k79_34012
1	k79_58130
1	k79_94661
1	k79_58255
1	k79_70087
1	k79_52779
1	k79_49050
1	k79_14282
1	k79_8807
1	k79_75680
1	k79_31873
1	k79_73148
1	k79_79370
1	k79_78313
1	k79_15371
1	k79_60029
1	k79_76364
1	k79_82608
1	k79_86965
1	k79_83886
1	k79_11177
1	k79_38530
1	k79_26691
1	k79_42416
1	k79_23346
1	k79_76207
1	k79_92402
1	k79_44357
1	k79_89446
1	k79_75298
1	k79_22906
1	k79_87269
1	k79_89945
1	k79_30159
1	k79_89500
1	k79_16945
1	k79_10943
1	k79_72772
1	k79_48586
1	k79_91078
1	k79_72940
1	k79_32476
1	k79_72338
1	k79_20726
1	k79_90278
1	k79_5792
1	k79_92491
1	k79_18442
1	k79_3470
1	k79_27741
1	k79_20138
1	k79_59137
1	k79_9833
1	k79_15843
1	k79_44547
1	k79_97028
1	k79_75056
1	k79_76971
1	k79_40973
1	k79_74461
1	k79_57337
1	k79_36752
1	k79_74558
1	k79_70379
1	k79_13223
1	k79_59003
1	k79_63612
1	k79_4971
1	k79_76565
1	k79_56328
1	k79_7233
1	k79_27652
1	k79_18859
1	k79_32585
1	k79_70959
1	k79_10385
1	k79_49876
1	k79_37828
1	k79_44294
1	k79_67085
1	k79_48490
1	k79_57721
1	k79_27750
1	k79_92649
1	k79_95847
1	k79_27679
1	k79_74264
1	k79_38450
1	k79_22172
1	k79_64389
1	k79_87716
1	k79_68629
1	k79_89344
1	k79_88184
1	k79_6959
1	k79_51051
1	k79_95871
1	k79_81154
1	k79_49512
1	k79_60108
1	k79_13167
1	k79_17541
1	k79_1245
1	k79_87601
1	k79_56509
1	k79_37464
1	k79_27459
1	k79_5941
1	k79_5118
1	k79_75975
1	k79_10195
1	k79_45253
1	k79_8811
1	k79_34085
1	k79_33567
1	k79_1993
1	k79_49750
1	k79_64373
1	k79_80842
1	k79_22860
1	k79_68342
1	k79_80440
1	k79_41845
1	k79_33938
1	k79_3926
1	k79_96112
1	k79_25670
1	k79_38578
1	k79_54601
1	k79_89816
1	k79_81025
1	k79_13436
1	k79_57524
1	k79_56126
1	k79_58011
1	k79_22392
1	k79_12273
1	k79_70927
1	k79_76359
1	k79_22399
1	k79_29098
1	k79_67990
1	k79_23055
1	k79_61600
1	k79_16608
1	k79_12066
1	k79_88029
1	k79_39590
1	k79_94648
1	k79_78431
1	k79_35852
1	k79_93973
1	k79_20655
1	k79_26921
1	k79_15588
1	k79_80777
1	k79_77048
1	k79_21039
1	k79_33456
1	k79_93613
1	k79_34533
1	k79_26793
1	k79_86026
1	k79_69928
1	k79_3963
1	k79_51867
1	k79_79008
1	k79_52395
1	k79_78633
1	k79_95852
1	k79_97083
1	k79_80884
1	k79_42971
1	k79_66370
1	k79_84885
1	k79_77715
1	k79_69048
1	k79_63693
1	k79_54258
1	k79_90037
1	k79_59703
1	k79_51016
1	k79_14884
1	k79_77847
1	k79_72251
1	k79_93627
1	k79_59204
1	k79_5957
1	k79_38727
1	k79_61018
1	k79_48204
1	k79_29143
1	k79_22454
1	k79_60498
1	k79_53841
1	k79_18645
1	k79_90463
1	k79_93532
1	k79_59816
1	k79_8005
1	k79_73348
1	k79_44535
1	k79_69421
1	k79_50367
1	k79_46706
1	k79_72370
1	k79_20942
1	k79_33895
1	k79_71403
1	k79_75564
1	k79_89730
1	k79_63657
1	k79_85487
1	k79_26803
1	k79_67549
1	k79_95345
1	k79_82590
1	k79_5597
1	k79_65097
1	k79_24577
1	k79_92259
1	k79_91278
1	k79_72023
1	k79_66308
1	k79_65413
1	k79_25275
1	k79_78816
1	k79_4651
1	k79_56204
1	k79_27557
1	k79_4410
1	k79_86103
1	k79_83904
1	k79_25729
1	k79_62322
1	k79_48870
1	k79_58230
1	k79_47398
1	k79_4873
1	k79_94785
1	k79_18786
1	k79_82434
1	k79_22726
1	k79_504
1	k79_9874
1	k79_24356
1	k79_60139
1	k79_90069
1	k79_57473
1	k79_22689
1	k79_44341
1	k79_66603
1	k79_33056
1	k79_81519
1	k79_34912
1	k79_21286
1	k79_67005
1	k79_83465
1	k79_65253
1	k79_81218
1	k79_79242
1	k79_91592
1	k79_76647
1	k79_64414
1	k79_46420
1	k79_84783
1	k79_83739
1	k79_93250
1	k79_27573
1	k79_88295
1	k79_95907
1	k79_25050
1	k79_2391
1	k79_87275
1	k79_79537
1	k79_3757
1	k79_89580
1	k79_28106
1	k79_73270
1	k79_24709
1	k79_37961
1	k79_74462
1	k79_57162
1	k79_68782
1	k79_1637
1	k79_61688
1	k79_66688
1	k79_66818
1	k79_42467
1	k79_83819
1	k79_33637
1	k79_97114
1	k79_32970
1	k79_96184
1	k79_47028
1	k79_69895
1	k79_75760
1	k79_34803
1	k79_89294
1	k79_74313
1	k79_41596
1	k79_43349
1	k79_62725
1	k79_58196
1	k79_84896
1	k79_9026
1	k79_42174
1	k79_89250
1	k79_92110
1	k79_70237
1	k79_77661
1	k79_34079
1	k79_90485
1	k79_58223
1	k79_68439
1	k79_51163
1	k79_51407
1	k79_30022
1	k79_32858
1	k79_37934
1	k79_18590
1	k79_70973
1	k79_66560
1	k79_33931
1	k79_30234
1	k79_82079
1	k79_11728
1	k79_32041
1	k79_63701
1	k79_79379
1	k79_68399
1	k79_51858
1	k79_72225
1	k79_61884
1	k79_79951
1	k79_88986
1	k79_32593
1	k79_38775
1	k79_96651
1	k79_16780
1	k79_51199
1	k79_73682
1	k79_60223
1	k79_97090
1	k79_64743
1	k79_64788
1	k79_78462
1	k79_90659
1	k79_62101
1	k79_59474
1	k79_26850
1	k79_12904
1	k79_16167
1	k79_71734
1	k79_54769
1	k79_77696
1	k79_94992
1	k79_31097
1	k79_6215
1	k79_19290
1	k79_79029
1	k79_58411
