genome,score
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,53.65656475879023
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,41.11687868148275
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,71.55784238127362
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,82.24182144137606
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,52.28017852960168
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,80.97951427374285
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,62.71233093100848
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,97.80292934507163
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,59.03492094970187
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,67.15552097266796
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,63.818638093030664
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,75.99520688667461
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,53.54673561686147
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,43.308861797416874
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,72.8723591686658
