#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_5	3195	3398	-	JIAGPL_00019	7.9	4.6		
contig_7	4084	4851	-	JIAGPL_00023	29.2	5.0		
contig_8	50	376	+	JIAGPL_00024	12.2	11.8		
contig_8	13374	13493	+	JIAGPL_00034	4.4	4.1		
contig_8	13493	13798	+	JIAGPL_00035	11.3	9.9		
contig_8	13973	14236	+	JIAGPL_00036	9.6	9.4		SO:0001217, UniRef:UniRef50_C0FQR7
contig_8	14452	14667	-	JIAGPL_00037	8.1	4.9		
contig_9	27	284	+	JIAGPL_00038	10.1	5.6	PF10728.14|DUF2520	PFAM:PF10728.14
contig_11	4472	4732	-	JIAGPL_00052	9.8	5.8		
contig_13	3318	3860	-	JIAGPL_00070	20.0	6.5	PF00962.28|A_deaminase	PFAM:PF00962.28
contig_15	118	555	+	JIAGPL_00075	16.1	4.6	PF00348.22|polyprenyl_synt	PFAM:PF00348.22
contig_15	8794	9927	-	JIAGPL_00083	43.1	4.6		SO:0001217, UniRef:UniRef50_D4S026
contig_16	7014	7253	-	JIAGPL_00093	9.5	8.9	PF03838.20|RecU	PFAM:PF03838.20
contig_19	4653	4748	-	JIAGPL_00123	3.6	9.7		
contig_20	6023	6499	-	JIAGPL_00137	17.6	9.2		
contig_21	3	1778	+	JIAGPL_00138	65.7	4.6	PF00562.33|RNA_pol_Rpb2_6, PF04560.25|RNA_pol_Rpb2_7	PFAM:PF00562.33, PFAM:PF04560.25
contig_21	1996	2508	-	JIAGPL_00139	18.6	8.7		
contig_21	3688	4341	-	JIAGPL_00140	23.5	8.5		
contig_22	32	349	+	JIAGPL_00141	12.8	4.3		
contig_22	418	2154	+	JIAGPL_00142	65.7	9.3		
contig_27	84	740	+	JIAGPL_00170	24.4	9.2	PF02421.24|FeoB_N	PFAM:PF02421.24
contig_27	4983	5573	+	JIAGPL_00177	23.2	6.3		RefSeq:WP_005600553.1, SO:0001217, UniParc:UPI0001BC35DC, UniRef:UniRef100_D4RWJ7, UniRef:UniRef50_D4RWJ7, UniRef:UniRef90_D4RWJ7
contig_30	28	723	+	JIAGPL_00192	25.0	6.1	PF22521.2|HypF_C_2	PFAM:PF22521.2
contig_31	110	589	-	JIAGPL_00194	17.2	4.4		RefSeq:WP_148356930.1, SO:0001217, UniParc:UPI0011DE50B4, UniRef:UniRef100_D4S140, UniRef:UniRef50_A0A3C0J5I9, UniRef:UniRef90_A0A3C0J5I9
contig_31	684	1115	-	JIAGPL_00195	16.7	9.2		
contig_33	14	595	+	JIAGPL_00197	21.4	4.3	PF04998.22|RNA_pol_Rpb1_5	PFAM:PF04998.22
contig_34	38	394	+	JIAGPL_00198	12.8	4.8	PF12327.13|FtsZ_C	PFAM:PF12327.13
contig_34	3658	4062	+	JIAGPL_00200	15.2	8.7		RefSeq:WP_005601060.1, SO:0001217, UniParc:UPI0001BC34A0, UniRef:UniRef100_D4RWX4, UniRef:UniRef50_D4RWX4, UniRef:UniRef90_D4RWX4
contig_35	525	908	-	JIAGPL_00230	14.9	9.6		SO:0001217, UniRef:UniRef50_D4S2A4, UniRef:UniRef90_D4S2A4
contig_35	3484	3642	-	JIAGPL_00235	6.0	4.7		SO:0001217, UniRef:UniRef50_D4S2A9, UniRef:UniRef90_D4S2A9
contig_44	5148	5249	-	JIAGPL_00282	3.6	9.8		
contig_46	343	480	+	JIAGPL_00290	5.1	6.5		
contig_46	2058	2462	-	JIAGPL_00293	14.5	7.8	PF00999.27|Na_H_Exchanger	PFAM:PF00999.27
contig_47	73	324	+	JIAGPL_00294	9.6	4.4		
contig_50	31	561	+	JIAGPL_00310	19.7	5.7		
contig_51	208	618	+	JIAGPL_00318	14.8	9.5		SO:0001217, UniRef:UniRef50_UPI00242AB304
contig_51	722	1723	+	JIAGPL_00319	37.6	5.1		
contig_52	103	357	+	JIAGPL_00320	10.0	8.5	PF05036.18|SPOR	PFAM:PF05036.18
contig_53	6018	6575	-	JIAGPL_00326	20.5	5.1		
contig_55	97	801	+	JIAGPL_00328	26.1	8.7		
contig_55	7324	7479	-	JIAGPL_00336	5.9	9.9		RefSeq:WP_005600808.1, SO:0001217, UniParc:UPI0001BC3A15, UniRef:UniRef100_D4RW41, UniRef:UniRef50_D4RW41, UniRef:UniRef90_D4RW41
contig_55	8824	9147	-	JIAGPL_00339	12.2	6.7		SO:0001217, UniParc:UPI0001BC3A18, UniRef:UniRef100_D4RW44, UniRef:UniRef50_D4RW44, UniRef:UniRef90_D4RW44
contig_55	9140	10534	-	JIAGPL_00340	53.8	4.6		SO:0001217, UniRef:UniRef50_D4RW45, UniRef:UniRef90_D4RW45
contig_61	1442	1846	-	JIAGPL_00380	15.3	5.0	PF01381.28|HTH_3, PF12844.13|HTH_19, PF13443.12|HTH_26, PF13560.12|HTH_31, PF13744.12|HTH_37	PFAM:PF01381.28, PFAM:PF12844.13, PFAM:PF13443.12, PFAM:PF13560.12, PFAM:PF13744.12
contig_61	3261	3515	-	JIAGPL_00382	10.0	9.5		
contig_61	3593	3820	-	JIAGPL_00383	8.6	8.7		
contig_61	3843	3938	-	JIAGPL_00384	3.6	8.9		
contig_62	352	837	+	JIAGPL_00386	17.7	8.8		
contig_62	649	1161	-	JIAGPL_00387	18.4	4.5		
