# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	379	1251	-	JIAGPL_00001		KilA-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4D5ZJT4, UniRef:UniRef90_D4S1Y9
contig_2	cds	1196	3313	-	JIAGPL_00002	fusA	elongation factor G	GO:0003746, GO:0005525, GO:0006414, RefSeq:WP_081445370.1, SO:0001217, UniParc:UPI0001BC3714, UniRef:UniRef100_D4RX83, UniRef:UniRef50_Q5SHN5, UniRef:UniRef90_D4RX83
contig_2	cds	3386	3856	-	JIAGPL_00003	rpsG	30S ribosomal protein S7	GO:0003735, GO:0006412, GO:0015935, KEGG:K02992, RefSeq:WP_005601272.1, SO:0001217, UniParc:UPI0001BC3715, UniRef:UniRef100_D4RX84, UniRef:UniRef50_P38526, UniRef:UniRef90_D4RX84
contig_3	cds	245	421	+	JIAGPL_00004	rpsU	30S ribosomal protein S21	COG:COG0828, COG:J, GO:0003735, GO:0005840, GO:0006412, RefSeq:WP_005603101.1, SO:0001217, UniParc:UPI0001561FDF, UniRef:UniRef100_A0A173Y905, UniRef:UniRef50_F7JI94, UniRef:UniRef90_A0A174R1W9
contig_3	cds	537	755	+	JIAGPL_00005		Sporulation protein	RefSeq:WP_005603100.1, SO:0001217, UniParc:UPI0001BC3396, UniRef:UniRef100_A0A3C0J820, UniRef:UniRef50_A0A3C0J820, UniRef:UniRef90_A0A3C0J820
contig_3	cds	757	1944	+	JIAGPL_00006	yqfD	Sporulation protein YqfD	KEGG:K06438, SO:0001217, UniRef:UniRef50_A0A3C0J7I5, UniRef:UniRef90_A0A3C0J7I5
contig_3	cds	1931	2947	+	JIAGPL_00007		PhoH-like protein	RefSeq:WP_005603098.1, SO:0001217, UniParc:UPI0001BC32BA, UniRef:UniRef100_D4S061, UniRef:UniRef50_A0A1C5N7G7, UniRef:UniRef90_D4S061
contig_3	cds	2937	3437	+	JIAGPL_00008	ybeY	rRNA maturation RNase YbeY	GO:0004540, GO:0042254, GO:0046872, SO:0001217, UniRef:UniRef50_A0A0K9NG25, UniRef:UniRef90_D4S060
contig_4	cds	90	971	+	JIAGPL_00009	truB	tRNA pseudouridine(55) synthase TruB	EC:5.4.99.25, GO:0001522, GO:0003723, GO:0009451, GO:0009982, KEGG:K03177, SO:0001217, UniRef:UniRef50_A0AAP2W7Z7, UniRef:UniRef90_D4RZX9
contig_4	cds	993	1892	+	JIAGPL_00010		bifunctional riboflavin kinase/FAD synthetase	EC:2.7.1.26, EC:2.7.7.2, GO:0003919, KEGG:K11753, SO:0001217, UniRef:UniRef50_D4RZY0, UniRef:UniRef90_D4RZY0
contig_4	cds	2037	2303	+	JIAGPL_00011	rpsO	30S ribosomal protein S15	GO:0003735, GO:0005840, GO:0006412, RefSeq:WP_005602960.1, SO:0001217, UniParc:UPI0001BC3172, UniRef:UniRef100_D4RZY1, UniRef:UniRef50_B0JPD9, UniRef:UniRef90_D4RZY1
contig_4	cds	2453	4549	+	JIAGPL_00012		polyribonucleotide nucleotidyltransferase	EC:2.7.7.8, GO:0003723, GO:0004654, GO:0006396, GO:0006402, KEGG:K00962, RefSeq:WP_081445386.1, SO:0001217, UniParc:UPI0001BC3173, UniRef:UniRef100_D4RZY2, UniRef:UniRef50_A3DCH7, UniRef:UniRef90_D4RZY2
contig_4	cds	4559	5302	+	JIAGPL_00013		YebC/PmpR family DNA-binding transcriptional regulator	SO:0001217, UniParc:UPI00033BA744, UniRef:UniRef100_R5LXR3, UniRef:UniRef50_Q189Y9, UniRef:UniRef90_R6S037
contig_4	cds	5326	5535	+	JIAGPL_00014		Phage protein	SO:0001217, UniParc:UPI0001D0130E, UniRef:UniRef100_D4RZY4, UniRef:UniRef50_A0A373LXW6, UniRef:UniRef90_D4RZY4
contig_4	cds	5560	6552	-	JIAGPL_00015		HTH lacI-type domain-containing protein	SO:0001217, UniParc:UPI000337EC2E, UniRef:UniRef100_R5LXW9, UniRef:UniRef50_A0A3C0J7V7, UniRef:UniRef90_A0A3C0J7V7
contig_5	cds	122	1615	-	JIAGPL_00016		ABC transporter, solute-binding protein	SO:0001217, UniRef:UniRef50_C6LIA4, UniRef:UniRef90_D4RYE1
contig_5	cds	1596	2408	-	JIAGPL_00017		ABC transporter, permease protein	SO:0001217, UniRef:UniRef50_R9JFR8, UniRef:UniRef90_D4RYE2
contig_5	cds	2405	3193	-	JIAGPL_00018		ABC transporter, permease protein	SO:0001217, UniParc:UPI00033EB2AC, UniRef:UniRef100_R5LCS6, UniRef:UniRef50_R9KYV4, UniRef:UniRef90_D4RYE3
contig_5	cds	3195	3398	-	JIAGPL_00019		hypothetical protein	
contig_7	cds	685	1233	-	JIAGPL_00020		ANTAR domain protein	SO:0001217, UniParc:UPI00033EE39D, UniRef:UniRef100_A0A3C0J6K1, UniRef:UniRef50_D4RZ77, UniRef:UniRef90_D4RZ77
contig_7	cds	1258	2589	-	JIAGPL_00021	glnA	type I glutamate--ammonia ligase	EC:6.3.1.2, GO:0004356, GO:0006542, KEGG:K01915, SO:0001217, UniParc:UPI00033EFFC2, UniRef:UniRef100_R5LWB0, UniRef:UniRef50_P10656, UniRef:UniRef90_D4RZ78
contig_7	cds	2707	3984	-	JIAGPL_00022		GGDEF domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3C0J7Z4, UniRef:UniRef90_A0A3C0J7Z4
contig_7	cds	4084	4851	-	JIAGPL_00023		hypothetical protein	
contig_8	cds	50	376	+	JIAGPL_00024		hypothetical protein	
contig_8	cds	2307	2855	+	JIAGPL_00025		Biotin transporter	SO:0001217, UniParc:UPI00095952F0, UniRef:UniRef100_A0A3C0J5U8, UniRef:UniRef50_A0A1C5L8K5, UniRef:UniRef90_D4RXN6
contig_8	cds	2989	3918	-	JIAGPL_00026		Hydrolase, alpha/beta domain protein	SO:0001217, UniRef:UniRef50_D4RXN5, UniRef:UniRef90_D4RXN5
contig_8	cds	4023	6302	+	JIAGPL_00027		hydratase	RefSeq:WP_005601532.1, SO:0001217, UniParc:UPI0001BC2F04, UniRef:UniRef100_D4RXN4, UniRef:UniRef50_P75764, UniRef:UniRef90_D4RXN4
contig_8	cds	6329	7000	+	JIAGPL_00028		HTH DNA-binding protein	SO:0001217, UniRef:UniRef50_G2T1N4, UniRef:UniRef90_R5L9J8
contig_8	cds	7124	7738	+	JIAGPL_00029		Transporter gate domain protein	KEGG:K06373, SO:0001217, UniParc:UPI000E7E4425, UniRef:UniRef100_A0A350RMI2, UniRef:UniRef50_D4RXN2, UniRef:UniRef90_D4RXN2
contig_8	cds	7787	8776	+	JIAGPL_00030		4-phosphoerythronate dehydrogenase	SO:0001217, UniRef:UniRef50_U2TKP2, UniRef:UniRef90_D4RXN1
contig_8	cds	8796	10673	+	JIAGPL_00031		Endonuclease GajA/Old nuclease/RecF-like AAA domain-containing protein	KEGG:K07459, SO:0001217, UniRef:UniRef50_A0A1M4SS30, UniRef:UniRef90_D4RXN0
contig_8	cds	10742	12097	+	JIAGPL_00032		ATP synthase F0, A subunit	SO:0001217, UniRef:UniRef50_D4RXM9, UniRef:UniRef90_D4RXM9
contig_8	cds	12155	12682	+	JIAGPL_00033		Nucleoside transporter/FeoB GTPase Gate domain-containing protein	KEGG:K06374, RefSeq:WP_005601523.1, SO:0001217, UniParc:UPI0001BC2EFE, UniRef:UniRef100_D4RXM8, UniRef:UniRef50_D4RXM8, UniRef:UniRef90_D4RXM8
contig_8	cds	13374	13493	+	JIAGPL_00034		hypothetical protein	
contig_8	cds	13493	13798	+	JIAGPL_00035		hypothetical protein	
contig_8	cds	13973	14236	+	JIAGPL_00036		hypothetical protein	SO:0001217, UniRef:UniRef50_C0FQR7
contig_8	cds	14452	14667	-	JIAGPL_00037		hypothetical protein	
contig_9	cds	27	284	+	JIAGPL_00038		hypothetical protein	PFAM:PF10728.14
contig_9	cds	238	1065	+	JIAGPL_00039	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	EC:2.1.2.11, GO:0003864, GO:0015940, KEGG:K00606, RefSeq:WP_040332077.1, SO:0001217, UniParc:UPI0001BC3A91, UniRef:UniRef100_D4S129, UniRef:UniRef50_Q97F39, UniRef:UniRef90_D4S129
contig_9	cds	1087	1926	+	JIAGPL_00040	panC	pantoate--beta-alanine ligase	EC:6.3.2.1, GO:0004592, GO:0015940, KEGG:K01918, RefSeq:WP_005603614.1, SO:0001217, UniParc:UPI0001BC3A90, UniRef:UniRef100_D4S128, UniRef:UniRef50_Q97F38, UniRef:UniRef90_D4S128
contig_9	cds	2006	2890	+	JIAGPL_00041		SGNH hydrolase-type esterase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3C0J5P4, UniRef:UniRef90_A0A3C0J5P4
contig_9	cds	2933	4303	-	JIAGPL_00042		TIM-barrel domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001FA8B276
contig_10	cds	1400	2641	-	JIAGPL_00043		Cell envelope-related transcriptional attenuator domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3C0J961, UniRef:UniRef90_A0A3C0J961
contig_10	cds	2664	4064	-	JIAGPL_00044		undecaprenyl-phosphate glucose phosphotransferase	EC:2.7.8.31, GO:0016780, SO:0001217, UniRef:UniRef50_A0A174DAF6, UniRef:UniRef90_D4S1T0
contig_10	cds	4069	4998	-	JIAGPL_00045		Glycosyltransferase, group 2 family protein	SO:0001217, UniRef:UniRef50_A0A374ANN9, UniRef:UniRef90_D4S1T1
contig_10	cds	5001	6353	-	JIAGPL_00046	glmM	phosphoglucosamine mutase	EC:5.4.2.10, GO:0000287, GO:0005975, GO:0008966, GO:0009252, SO:0001217, UniRef:UniRef50_P0C0V7, UniRef:UniRef90_D4S1T2
contig_10	cds	6374	7705	-	JIAGPL_00047		YbbR-like protein	SO:0001217, UniParc:UPI00033C4BA5, UniRef:UniRef100_R5LAC0, UniRef:UniRef50_R5LAC0, UniRef:UniRef90_R5LAC0
contig_10	cds	7692	8171	-	JIAGPL_00048		DAC domain-containing protein	SO:0001217, UniRef:UniRef50_A5ZX45
contig_11	cds	127	1254	-	JIAGPL_00049		Stage 0 sporulation A-like protein	SO:0001217, UniRef:UniRef50_R9JDL6, UniRef:UniRef90_D4S265
contig_11	cds	1415	2794	-	JIAGPL_00050	norM	putative multidrug resistance protein NorM	RefSeq:WP_005604217.1, SO:0001217, UniParc:UPI0001BC35A9, UniRef:UniRef100_D4S266, UniRef:UniRef50_A0A3R6PFL5, UniRef:UniRef90_D4S266
contig_11	cds	2810	4183	-	JIAGPL_00051	mgtE	magnesium transporter	GO:0015095, GO:0015693, GO:0016020, RefSeq:WP_005604218.1, SO:0001217, UniParc:UPI0001BC35AA, UniRef:UniRef100_D4S267, UniRef:UniRef50_A0A316QNI3, UniRef:UniRef90_D4S267
contig_11	cds	4472	4732	-	JIAGPL_00052		hypothetical protein	
contig_12	cds	400	1482	+	JIAGPL_00053	serC	3-phosphoserine/phosphohydroxythreonine transaminase	COG:COG1932, COG:HE, EC:2.6.1.52, GO:0003824, GO:0004648, GO:0006564, KEGG:K00831, RefSeq:WP_005603328.1, SO:0001217, UniParc:UPI0001BC3596, UniRef:UniRef100_D4S0K4, UniRef:UniRef50_A4W0D4, UniRef:UniRef90_G2T1D6
contig_12	cds	1537	2700	+	JIAGPL_00054		D-3-phosphoglycerate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A355YNT2, UniRef:UniRef90_D4S0K3
contig_12	cds	2712	3956	+	JIAGPL_00055		DUF1015 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7R7ENF7, UniRef:UniRef90_D4S0K2
contig_12	cds	4052	6070	+	JIAGPL_00056		Putative 1,4-alpha-glucan branching enzyme	EC:2.4.1.18, KEGG:K00700, SO:0001217, UniRef:UniRef50_D4S0K1, UniRef:UniRef90_D4S0K1
contig_12	cds	6070	6939	+	JIAGPL_00057		Putative phage tail component domain protein	SO:0001217, UniRef:UniRef50_D4S0K0, UniRef:UniRef90_D4S0K0
contig_12	cds	6942	7703	+	JIAGPL_00058		Peptidase M15C domain-containing protein	SO:0001217, UniRef:UniRef50_D4S0J9, UniRef:UniRef90_D4S0J9
contig_12	cds	7755	9131	-	JIAGPL_00059	argH	argininosuccinate lyase	EC:4.3.2.1, GO:0004056, GO:0042450, KEGG:K01755, SO:0001217, UniRef:UniRef50_A0A3R6QUT5, UniRef:UniRef90_D4S0J8
contig_12	cds	9128	11749	-	JIAGPL_00060	yfhO	Bacterial membrane protein YfhO	SO:0001217, UniRef:UniRef50_A0A3C0J758, UniRef:UniRef90_A0A3C0J758
contig_12	cds	11742	12179	-	JIAGPL_00061		GtrA-like protein	RefSeq:WP_005603313.1, SO:0001217, UniParc:UPI0001BC358E, UniRef:UniRef100_D4S0J6, UniRef:UniRef50_D4S0J6, UniRef:UniRef90_D4S0J6
contig_12	cds	12163	13125	-	JIAGPL_00062		Glycosyltransferase, group 2 family protein	EC:2.4.1.-, KEGG:K12999, SO:0001217, UniRef:UniRef50_A0A143XCS8, UniRef:UniRef90_D4S0J5
contig_12	cds	13210	14697	-	JIAGPL_00063	lonB	Putative ATP-dependent protease LonB	SO:0001217, UniParc:UPI00033D9B03, UniRef:UniRef100_R5LY94, UniRef:UniRef50_A0A174LVF6, UniRef:UniRef90_R5LY94
contig_12	cds	14807	16030	+	JIAGPL_00064		argininosuccinate synthase	EC:6.3.4.5, GO:0004055, GO:0005524, GO:0006526, KEGG:K01940, RefSeq:WP_005603307.1, SO:0001217, UniParc:UPI0001BC358B, UniRef:UniRef100_D4S0J3, UniRef:UniRef50_C4Z4C1, UniRef:UniRef90_D4S0J3
contig_12	cds	16234	17460	+	JIAGPL_00065	argJ	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	EC:2.3.1.1, EC:2.3.1.35, GO:0004358, GO:0006526, KEGG:K00620, SO:0001217, UniRef:UniRef50_F7V5T9, UniRef:UniRef90_D4S0J2
contig_12	cds	17485	18381	+	JIAGPL_00066		Acetylglutamate kinase	SO:0001217, UniRef:UniRef50_Q9PIR8, UniRef:UniRef90_D4S0J1
contig_12	cds	18365	19555	+	JIAGPL_00067		Acetylornithine aminotransferase	SO:0001217, UniRef:UniRef50_A0A173TPG2, UniRef:UniRef90_D4S0J0
contig_13	cds	525	1454	-	JIAGPL_00068	hprK	HPr(Ser) kinase/phosphatase	EC:2.7.11.-, EC:2.7.4.-, GO:0000155, GO:0000160, GO:0005524, GO:0006109, KEGG:K06023, RefSeq:WP_005604386.1, SO:0001217, UniParc:UPI0001BC378E, UniRef:UniRef100_D4S2I3, UniRef:UniRef50_A9KSS1, UniRef:UniRef90_D4S2I3
contig_13	cds	1454	3298	-	JIAGPL_00069	uvrC	excinuclease ABC subunit UvrC	GO:0006289, GO:0009380, GO:0009381, KEGG:K03703, SO:0001217, UniRef:UniRef50_A0A1T4VHN1, UniRef:UniRef90_D4S2I4
contig_13	cds	3318	3860	-	JIAGPL_00070		hypothetical protein	PFAM:PF00962.28
contig_14	cds	194	793	+	JIAGPL_00071	dnaJ	Chaperone protein DnaJ	SO:0001217, UniRef:UniRef50_A0A1V5Q642
contig_14	cds	796	2742	+	JIAGPL_00072		DNA 3'-5' helicase	SO:0001217, UniRef:UniRef50_A0A1Q9K542, UniRef:UniRef90_D4S0R2
contig_14	cds	2808	3116	-	JIAGPL_00073		DUF1292 domain-containing protein	RefSeq:WP_005603419.1, SO:0001217, UniParc:UPI0001BC375C, UniRef:UniRef100_D4S0R1, UniRef:UniRef50_D4S0R1, UniRef:UniRef90_D4S0R1
contig_14	cds	3320	3775	+	JIAGPL_00074	asnC	Transcriptional regulator, AsnC family	RefSeq:WP_005603416.1, SO:0001217, UniParc:UPI0001BC375B, UniRef:UniRef100_D4S0Q9, UniRef:UniRef50_C0CSI6, UniRef:UniRef90_D4S0Q9
contig_15	cds	118	555	+	JIAGPL_00075		hypothetical protein	PFAM:PF00348.22
contig_15	cds	581	2443	+	JIAGPL_00076	dxs	1-deoxy-D-xylulose-5-phosphate synthase	EC:2.2.1.7, GO:0005737, GO:0008615, GO:0008661, GO:0009228, GO:0009240, KEGG:K01662, SO:0001217, UniRef:UniRef50_B2TRM5, UniRef:UniRef90_D4S019
contig_15	cds	2445	3257	+	JIAGPL_00077		Ribosomal RNA large subunit methyltransferase J	EC:2.1.1.226, EC:2.1.1.227, KEGG:K06442, RefSeq:WP_005603037.1, SO:0001217, UniParc:UPI0001BC31E3, UniRef:UniRef100_D4S020, UniRef:UniRef50_A8RS14, UniRef:UniRef90_D4S020
contig_15	cds	3259	4104	+	JIAGPL_00078		NAD kinase	SO:0001217, UniRef:UniRef50_D4S021, UniRef:UniRef90_D4S021
contig_15	cds	4118	4564	+	JIAGPL_00079	argR	arginine repressor	GO:0003700, GO:0006355, GO:0006525, KEGG:K03402, RefSeq:WP_021960604.1, SO:0001217, UniParc:UPI0001BC31E5, UniRef:UniRef100_D4S022, UniRef:UniRef50_A9KMB5, UniRef:UniRef90_D4S022
contig_15	cds	4604	6286	+	JIAGPL_00080	recN	DNA repair protein RecN	GO:0005524, GO:0006281, GO:0006310, SO:0001217, UniRef:UniRef50_D4S023, UniRef:UniRef90_D4S023
contig_15	cds	6353	7609	+	JIAGPL_00081	spoIVB	SpoIVB peptidase	EC:3.4.21.116, GO:0008236, GO:0030436, SO:0001217, UniRef:UniRef50_D4S024, UniRef:UniRef90_D4S024
contig_15	cds	7736	8785	+	JIAGPL_00082		Phage integrase SAM-like domain protein	SO:0001217, UniRef:UniRef50_D4S025, UniRef:UniRef90_D4S025
contig_15	cds	8794	9927	-	JIAGPL_00083		hypothetical protein	SO:0001217, UniRef:UniRef50_D4S026
contig_15	cds	9930	10493	-	JIAGPL_00084		Cytidylate kinase	SO:0001217, UniRef:UniRef50_A0A7U9T3T5, UniRef:UniRef90_D4S027
contig_16	cds	253	576	-	JIAGPL_00085		Ribosomal processing cysteine protease Prp	KEGG:K07584, RefSeq:WP_005600762.1, SO:0001217, UniParc:UPI0001BC3957, UniRef:UniRef100_D4RWV9, UniRef:UniRef50_R6R2P2, UniRef:UniRef90_D4RWV9
contig_16	cds	591	899	-	JIAGPL_00086	rplU	50S ribosomal protein L21	GO:0003723, GO:0003735, GO:0005840, GO:0006412, RefSeq:WP_005600764.1, SO:0001217, UniParc:UPI0001BC3958, UniRef:UniRef100_D4RWW0, UniRef:UniRef50_B0S3Z1, UniRef:UniRef90_D4RWW0
contig_16	cds	1009	2169	-	JIAGPL_00087		Ribonuclease, Rne/Rng family	SO:0001217, UniRef:UniRef50_D4RWW1, UniRef:UniRef90_D4RWW1
contig_16	cds	2182	3228	-	JIAGPL_00088	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	EC:5.3.1.16, GO:0000105, GO:0003949, SO:0001217, UniParc:UPI0001BC395A, UniRef:UniRef100_D4RWW2, UniRef:UniRef50_C4Z0A8, UniRef:UniRef90_D4RWW2
contig_16	cds	3230	3817	-	JIAGPL_00089	hisB	imidazoleglycerol-phosphate dehydratase HisB	EC:4.2.1.19, GO:0000105, GO:0004424, RefSeq:WP_040331514.1, SO:0001217, UniParc:UPI0001BC395B, UniRef:UniRef100_D4RWW3, UniRef:UniRef50_Q31S12, UniRef:UniRef90_D4RWW3
contig_16	cds	3828	5117	-	JIAGPL_00090		Histidinol dehydrogenase	EC:1.1.1.23, KEGG:K00013, SO:0001217, UniRef:UniRef50_Q3AD53, UniRef:UniRef90_D4RWW4
contig_16	cds	5114	5761	-	JIAGPL_00091	hisG	ATP phosphoribosyltransferase	EC:2.4.2.17, GO:0000105, GO:0003879, GO:0005737, KEGG:K00765, SO:0001217, UniParc:UPI000338F7BA, UniRef:UniRef100_R5LLP7, UniRef:UniRef50_C4Z0B1, UniRef:UniRef90_D4RWW5
contig_16	cds	5764	6924	-	JIAGPL_00092	hisZ	ATP phosphoribosyltransferase regulatory subunit	GO:0000105, GO:0003879, GO:0005737, GO:0030234, SO:0001217, UniParc:UPI000ED9246B, UniRef:UniRef100_A0A3C0J563, UniRef:UniRef50_D9R109, UniRef:UniRef90_D4RWW6
contig_16	cds	7014	7253	-	JIAGPL_00093		hypothetical protein	PFAM:PF03838.20
contig_17	cds	104	1255	-	JIAGPL_00094		Malic enzyme, NAD binding domain protein	RefSeq:WP_040332114.1, SO:0001217, UniParc:UPI0001BC3201, UniRef:UniRef100_D4S1Q2, UniRef:UniRef50_D4MUX3, UniRef:UniRef90_D4S1Q2
contig_17	cds	1498	2859	+	JIAGPL_00095	rho	transcription termination factor Rho	EC:3.6.4.-, GO:0003723, GO:0005524, GO:0006353, GO:0008186, KEGG:K03628, RefSeq:WP_005603959.1, SO:0001217, UniParc:UPI0001BC3200, UniRef:UniRef100_D4S1Q1, UniRef:UniRef50_A0A9W5Y7X4, UniRef:UniRef90_D4S1Q1
contig_17	cds	2876	3895	+	JIAGPL_00096		SGNH hydrolase-type esterase domain-containing protein	SO:0001217, UniRef:UniRef50_D4S1Q0, UniRef:UniRef90_D4S1Q0
contig_18	cds	54	1004	-	JIAGPL_00097		Pseudouridine synthase	EC:5.4.99.23, KEGG:K06180, SO:0001217, UniRef:UniRef50_A0A317G4R6, UniRef:UniRef90_D4S028
contig_18	cds	997	1521	-	JIAGPL_00098	lspA	signal peptidase II	EC:3.4.23.36, GO:0004190, GO:0005886, GO:0006508, GO:0009306, KEGG:K03101, SO:0001217, UniParc:UPI00096727E0, UniRef:UniRef100_A0A350RQ57, UniRef:UniRef50_D4S029, UniRef:UniRef90_D4S029
contig_18	cds	1532	2620	-	JIAGPL_00099	aroB	3-dehydroquinate synthase	EC:4.2.3.4, GO:0003856, GO:0005737, GO:0009073, GO:0009423, KEGG:K01735, SO:0001217, UniRef:UniRef50_A0A9D2JTI9, UniRef:UniRef90_D4S030
