#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	3	305	+	KEHEJL_00003	11.5	8.6	PF11734.13|TilS_C	PFAM:PF11734.13
contig_3	1470	2060	-	KEHEJL_00010	21.8	8.8		SO:0001217, UniRef:UniRef50_R6IEJ2, UniRef:UniRef90_R6IEJ2
contig_7	21	365	+	KEHEJL_00016	12.8	7.9	PF01207.24|Dus	PFAM:PF01207.24
contig_9	30	332	+	KEHEJL_00022	11.2	5.1		
contig_12	20	253	+	KEHEJL_00031	8.1	5.8	PF14681.12|UPRTase	PFAM:PF14681.12
contig_17	148	432	+	KEHEJL_00044	10.5	4.9		
contig_17	3318	3584	-	KEHEJL_00048	10.2	6.7		RefSeq:WP_021718924.1, SO:0001217, UniParc:UPI00033B88A9, UniRef:UniRef100_A0A3G9H6W1, UniRef:UniRef50_A0A074M4A8, UniRef:UniRef90_A0A3G9H6W1
contig_18	111	386	+	KEHEJL_00050	10.0	8.2		
contig_18	2013	2414	-	KEHEJL_00054	15.5	6.6		SO:0001217, UniRef:UniRef50_UPI0032C1CD69, UniRef:UniRef90_UPI0032C1CD69
contig_19	9	215	+	KEHEJL_00055	7.7	4.3		SO:0001217, UniRef:UniRef50_R6ILR4, UniRef:UniRef90_R6ILR4
contig_19	401	832	+	KEHEJL_00056	16.3	5.1		RefSeq:WP_021718283.1, SO:0001217, UniParc:UPI00033E2899, UniRef:UniRef100_R6J7P7, UniRef:UniRef50_R6J7P7, UniRef:UniRef90_R6J7P7
contig_19	1111	1443	+	KEHEJL_00058	12.3	4.8		
contig_20	763	1266	-	KEHEJL_00063	19.0	9.0		
contig_22	150	875	-	KEHEJL_00069	27.8	9.5	PF10668.15|Phage_terminase	PFAM:PF10668.15
contig_22	1425	2099	-	KEHEJL_00071	26.4	9.9		
contig_26	270	1166	-	KEHEJL_00083	32.7	8.8	PF00004.35|AAA, PF00158.32|Sigma54_activat, PF00493.29|MCM, PF01078.27|Mg_chelatase, PF02954.25|HTH_8, PF07728.20|AAA_5, PF14532.12|Sigma54_activ_2	PFAM:PF00004.35, PFAM:PF00158.32, PFAM:PF00493.29, PFAM:PF01078.27, PFAM:PF02954.25, PFAM:PF07728.20, PFAM:PF14532.12
contig_27	163	606	+	KEHEJL_00084	16.9	5.0		RefSeq:WP_021718037.1, SO:0001217, UniParc:UPI00033BDF06, UniRef:UniRef100_A0A3G9GRU1, UniRef:UniRef50_E8LC85, UniRef:UniRef90_A0A3G9GRU1
contig_28	106	474	+	KEHEJL_00089	13.1	5.0		
contig_29	52	315	+	KEHEJL_00092	10.2	6.8		
contig_33	116	1300	-	KEHEJL_00097	39.9	4.1		
contig_34	296	550	+	KEHEJL_00098	8.8	4.9		SO:0001217, UniRef:UniRef50_UPI00241ECCA2, UniRef:UniRef90_UPI00241ECCA2
contig_34	1352	1570	+	KEHEJL_00100	7.8	4.1		RefSeq:WP_046431326.1, SO:0001217, UniParc:UPI00062342A8, UniRef:UniRef100_UPI00062342A8, UniRef:UniRef50_R6IBU4, UniRef:UniRef90_R6IBU4
contig_34	2286	2432	+	KEHEJL_00102	5.1	6.5		
contig_36	109	411	-	KEHEJL_00104	11.6	8.7		RefSeq:WP_021718828.1, SO:0001217, UniParc:UPI00033A9C54, UniRef:UniRef100_R6ICE6, UniRef:UniRef50_A0A1I2CVG0, UniRef:UniRef90_A0A3G9GWE8
contig_39	1365	2228	-	KEHEJL_00111	30.0	7.8		
contig_40	3345	3815	-	KEHEJL_00116	18.0	10.1		
contig_42	216	428	-	KEHEJL_00120	7.7	6.2		
contig_42	528	1493	+	KEHEJL_00121	37.2	4.7	PF20195.4|DUF6558	PFAM:PF20195.4
contig_44	47	178	+	KEHEJL_00123	4.7	8.1		
contig_45	9	338	+	KEHEJL_00126	10.1	5.0		
contig_45	891	1118	+	KEHEJL_00129	8.5	4.8		SO:0001217, UniRef:UniRef50_A0A402BWI2
contig_47	372	608	+	KEHEJL_00133	9.2	6.0		
contig_50	153	1196	+	KEHEJL_00137	37.9	4.5		
contig_50	1229	2173	+	KEHEJL_00138	34.9	5.2		
contig_50	2173	2610	+	KEHEJL_00139	16.1	4.8		
contig_50	2607	2981	+	KEHEJL_00140	14.0	6.6		RefSeq:WP_237985725.1, SO:0001217, UniParc:UPI001EDCBF24, UniRef:UniRef100_UPI001EDCBF24, UniRef:UniRef90_A0A8S5UKM3
