contigs	predictions
k79_0	
k79_48218	
k79_84380	
k79_36164	
k79_12055	2;1239;186801;3085636;186803
k79_48219	2;1239;186801;3085636;186803;2316020;33039
k79_1	2;1239;186801;186802;216572;2892396;2714355
k79_84381	2;976;200643;171549;171550;239759;328813
k79_60272	2;1239;186801;186802;216572;292632;214851
k79_24110	2;1239;186801;3085636;186803;2316020;33038
k79_60273	2;1239;186801;3085636;186803;572511;40520;411459
k79_2	2;1239;186801;3085636;186803;2316020;46228;471875
k79_48220	2;976;200643;171549;815;816;818
k79_60274	2;1239;186801;3085636;186803;189330;39486
k79_3	2;1239;186801;3085636;186803;1766253;39491
k79_36165	2;1239;186801;186802;216572;2892396;2714355
k79_12056	2;976;200643;171549;815;909656;387090
k79_48221	
k79_60275	2;1239;186801;3085636;186803;189330;88431
k79_84382	2;1239;186801;3085636;186803;2569097;39488
k79_36166	2;1239;186801;3085636;186803;189330;88431
k79_4	2;1239;186801;3085636;186803;2316020;46228;471875
k79_24111	2;1239;186801;3085636;186803;189330;88431
k79_5	
k79_60276	2;1239;186801;3085636;186803;572511;40520;657314
k79_24112	2;1239;186801;3085636;186803;207244;649756
k79_48222	
k79_24113	2;1239;186801;3085636;186803;207244;649756
k79_60277	2;1239;186801;3085636;186803;2316020;46228;471875
k79_24114	2;976;200643;171549;815;909656;821
k79_48223	2;1239;186801;3085636;186803;189330;88431
k79_6	2157;28890;183925;2158;2159;2172;2173;420247
k79_36167	2;976;200643;171549;815;909656;821
k79_48224	
k79_36168	2;201174;1760;85004;31953;1678;1680
k79_60278	2;1239;186801;3085636;186803;2569097;39488
k79_7	2;976;200643;171549;815;909656;357276
k79_48225	
k79_8	2;976;200643;171549;815;816;674529
k79_9	2;976;200643;171549;815;816;47678
k79_72326	2;1239;186801;3085636;186803;207244;649756
k79_36169	2;1239;186801;3085636;186803;189330;88431
k79_10	2157;28890;183925;2158;2159;2172;2173
k79_60279	2;1239;186801
k79_72327	2;976;200643;171549;815;816;28111
k79_36170	2;1239;186801;3085636;186803;572511;40520;411459
k79_12057	2;1239;186801;3085636;186803;1766253;39491;657318
k79_60280	2;976;200643;171549;2005525;375288
k79_36171	
k79_11	2;976;200643;171549;815;816
k79_48226	2;1239;186801;186802;31979;1485;1522
k79_12	2;1239;186801;3085636;186803;572511;40520;411459
k79_12058	2;976;200643;171549;2005525;375288
k79_48228	2;1239;186801;3085636;186803;189330;39486
k79_36172	2;976;200643;171549;2005525;375288;823
k79_60281	2;1239;526524;526525;2810280;2678885;1982626
k79_48229	2;1239;526524;526525;2810280;2678885;1982626
k79_36173	2;1239;186801;3085636;186803;2569097;39488
k79_60282	
k79_24115	2;1239;186801;3085636;186803;572511;418240;1121115
k79_48230	2;976;200643;171549;815;816;28111
k79_60283	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36174	
k79_13	2;976;200643;171549;815;909656;821
k79_48231	2;74201;203494;48461;1647988;239934;239935
k79_72328	2;1239;186801;186802;216572;216851;2929494
k79_14	2;1239;186801;3085636;186803;189330;88431
k79_84383	2;1239;186801;186802
k79_12059	
k79_72329	2;976;200643;171549;815;909656;821
k79_12060	
k79_36175	2;1239;186801;3085636;186803;189330;39486
k79_15	2;1239;186801;3085636;186803;1766253;39491;657318
k79_48232	2;976;200643;171549;815;816;28111
k79_60284	
k79_12061	
k79_16	2;1239;186801;3085636;186803;572511;418240;1121115
k79_48233	
k79_24116	2;976;200643;171549;815;816;817
k79_48234	2;1239;186801;3085636;186803;189330;39486
k79_60285	2;976;200643;171549;2005525;375288
k79_84384	2;976;200643;171549;2005525;375288;823
k79_24117	2;1239;186801;3085636;186803;2316020;33039
k79_84385	2;1239;186801;3085636;186803;1766253;39491
k79_36176	2;1239;909932;1843488;909930;33024;33025
k79_24118	2;201174;1760;85004;31953;1678;1686
k79_60286	2;1239;186801;3085636;186803;2569097;39488
k79_36177	2;976;200643;171549;1853231;283168;28118
k79_84386	2;1239;186801;3085636;186803;2569097;39488
k79_48235	2;1239;186801;3085636;186803;2569097;39488
k79_24119	
k79_60287	2;1239;186801;3085636;186803;2316020;46228;471875
k79_24120	2;1239;186801;3085636;186803;2316020;33039;657313
k79_17	2;1239;186801;186802;216572;216851;853;718252
k79_84387	
k79_36178	2;1239;91061;186826;81852;1350;71452
k79_18	
k79_36179	2;976;200643;171549;815;816;47678
k79_19	2;1239;186801;186802;216572;216851;2929495
k79_24121	2;1239;186801;3085636;186803;207244;649756;649757
k79_60288	2;1239;186801;186802;216572;1263;657323
k79_20	2;976;200643;171549;815;816;820
k79_84388	2;1239;186801;3085636;186803;207244;649756;649757
k79_60289	2;976;200643;171549;2005525;375288;823
k79_48236	2;1239;186801;3085636;186803;841;2763062
k79_24122	
k79_36180	2;976;200643;171549;815;909656;821
k79_24123	
k79_21	2;1239;186801;3085636;186803;189330;88431
k79_36181	2;201174;1760;85004;31953;1678
k79_36182	2;1239;186801;3085636;186803;189330;39486
k79_48237	2;1239;186801;3085636;186803;33042;410072
k79_48238	2;976;200643;171549;815;816;47678
k79_84390	2;201174;1760;85007;85025;1817
k79_36183	
k79_22	2;1239;186801;3085636;186803;189330;88431
k79_23	2;1239;186801;3085636;186803;2316020;33039
k79_60290	2;976;200643;171549;815;816
k79_24	2;1239;186801;3085636;186803;207244;649756
k79_48239	2;1239;186801;3085636;186803;572511;418240;1121115
k79_36184	2;976;200643;171549;2005525;375288;823
k79_84391	2;1239;186801;3085636;186803;189330;88431
k79_25	2;976;200643;171549;815;909656;821
k79_36185	
k79_84392	
k79_12062	2;1239;909932;1843488;909930;33024;33025
k79_26	2;1239;186801;3085636;186803;189330;39486
k79_48240	2;74201;203494;48461;1647988;239934;239935
k79_24124	2;976;200643;171549;815;816
k79_84393	2;976;200643;171549;815;816;28111
k79_48241	2;1239;186801;3085636;186803;2316020;33039
k79_24125	2;976;200643;171549;2005525;375288;46503
k79_48242	
k79_12063	2;1239;186801;186802;216572;216851;2929495
k79_48243	2;1239;186801;3085636;186803;2316020;33039
k79_84394	2;976;200643;171549;815;816;28111
k79_48244	2;201174;1760;85004;31953;1678;1686;1150460
k79_27	2;1239;186801;186802;216572;216851;2929493
k79_84395	
k79_12064	2;976;200643;171549;2005525;375288;823
k79_28	2;1239;186801;3085636;186803;2316020;33039
k79_36186	2;1239;186801;3085636;186803;207244;649756;649757
k79_29	
k79_30	2;1239;186801;3085636;186803;207244;649756
k79_48245	2;1239;186801;3085636;186803;1766253;39491;657318
k79_12065	2;976;200643;171549;1853231;574697
k79_24126	2;1239;186801;3085636;186803;2569097;39488
k79_12066	
k79_24127	
k79_31	2;1224;1236;1706369;1706373;48073;48074
k79_48246	2;1239;186801;3085636;186803;572511;2479767
k79_36187	2;1239;186801;3085636;186803;2719231;84030
k79_32	2;1239;186801;3085636;186803;572511;40520;411459
k79_36188	2;976;200643;171549;815;909656;821
k79_84396	2;976;200643;171549;2005525;375288
k79_12067	2;976;200643;171549;815;909656;387090
k79_48247	2;1239;186801;186802;216572;2892396;2714355
k79_84397	2;1239;186801;3085636;186803;2569097;39488
k79_12068	
k79_48248	
k79_84398	2;201174;1760;85004;31953;1678
k79_60291	2759;7711;40674;9443;9604;9605;9606
k79_48249	
k79_36189	2;1239;186801;3085636;186803;207244;649756
k79_48250	2;1239;186801;186802;216572;216851;853
k79_48251	2;1239;186801;186802
k79_84399	2;1239;186801;3085636;186803;1766253;39491;657317
k79_84400	
k79_48252	2;1224;28211;356;41294;374;722472
k79_36190	2;1239;186801;3085636;186803;189330;39486
k79_48253	
k79_33	2;1239;186801;3085636;186803;2316020;33039;657313
k79_84401	2;1239;186801;3085636;186803;33042;410072
k79_36192	2;1239;186801;3085636;186803;572511;40520;657314
k79_84402	2157;28890;183925;2158;2159;2172;2173
k79_84403	2;976;200643;171549;2005525;375288;46503
