contigname	ERR011348_ERR011348
k79_0	6.51327
k79_48218	6.49123
k79_84380	4.68182
k79_36164	4.42705
k79_12055	3.90643
k79_48219	4.89571
k79_1	8.00518
k79_84381	3.25
k79_60272	6.22153
k79_24110	6.05219
k79_60273	3.18605
k79_2	3.98936
k79_48220	4.58777
k79_60274	3.95385
k79_3	4.13605
k79_36165	6.35784
k79_12056	4.76462
k79_48221	1.95789
k79_60275	8.14953
k79_84382	7.02848
k79_36166	4.95156
k79_4	9.3067
k79_24111	5.93599
k79_5	4.31356
k79_60276	3.79694
k79_24112	3.93333
k79_48222	3.50759
k79_24113	2.93425
k79_60277	5.8
k79_24114	3.23134
k79_48223	5.83951
k79_6	8.38227
k79_36167	5.52983
k79_48224	3.67247
k79_36168	5.6875
k79_60278	8.05344
k79_7	8.24774
k79_48225	5.06585
k79_8	3.80531
k79_9	3.56499
k79_72326	7.0612
k79_36169	8.22488
k79_10	4.13861
k79_60279	4.96401
k79_72327	3.78512
k79_36170	3.21495
k79_12057	6.08019
k79_60280	4.49624
k79_36171	15.6306
k79_11	3.34815
k79_48226	4.74903
k79_12	3.37624
k79_12058	4.85395
k79_48228	5.24348
k79_36172	5.39008
k79_60281	5.64337
k79_48229	3.1746
k79_36173	4.71818
k79_60282	2.76364
k79_24115	8.83901
k79_48230	4.58763
k79_60283	4.25743
k79_36174	3.02759
k79_13	5.33547
k79_48231	8.62931
k79_72328	5.28703
k79_14	3.25
k79_84383	10.6385
k79_12059	5.24966
k79_72329	3.72093
k79_12060	4.77228
k79_36175	4.42829
k79_15	5.41241
k79_48232	3.57143
k79_60284	4.75143
k79_12061	6.73016
k79_16	6.88288
k79_48233	2.56731
k79_24116	4.31789
k79_48234	3.67143
k79_60285	2.75
k79_84384	6.20886
k79_24117	4.95913
k79_84385	3.82456
k79_36176	7.44041
k79_24118	3.09091
k79_60286	3.621
k79_36177	4.09649
k79_84386	6.54015
k79_48235	4.3059
k79_24119	3.62105
k79_60287	6.0
k79_24120	4.0283
k79_17	3.76672
k79_84387	6.04486
k79_36178	5.9763
k79_18	6.89768
k79_36179	2.56897
k79_19	5.39252
k79_24121	5.23165
k79_60288	7.71558
k79_20	3.5
k79_84388	5.46692
k79_60289	6.49462
k79_48236	8.04928
k79_24122	3.16604
k79_36180	3.96712
k79_24123	4.38053
k79_21	6.94286
k79_36181	10.7153
k79_36182	2.95873
k79_48237	7.82039
k79_48238	3.60833
k79_84390	9.91734
k79_36183	4.9729
k79_22	4.89264
k79_23	5.00439
k79_60290	14.6402
k79_24	3.35556
k79_48239	7.21562
k79_36184	5.71993
k79_84391	6.21119
k79_25	2.5
k79_36185	4.55
k79_84392	2.08772
k79_12062	7.35362
k79_26	3.63095
k79_48240	7.79051
k79_24124	9.60565
k79_84393	4.47412
k79_48241	4.0229
k79_24125	2.71613
k79_48242	4.97902
k79_12063	7.87867
k79_48243	3.2418
k79_84394	5.06434
k79_48244	2.10853
k79_27	10.4206
k79_84395	9.51724
k79_12064	4.67954
k79_28	5.21481
k79_36186	6.79746
k79_29	2.71277
k79_30	4.41346
k79_48245	6.99101
k79_12065	7.11953
k79_24126	5.70293
k79_12066	3.28324
k79_24127	6.13462
k79_31	5.20571
k79_48246	6.35897
k79_36187	7.22743
k79_32	5.07563
k79_36188	4.00769
k79_84396	6.33942
k79_12067	4.04957
k79_48247	6.12562
k79_84397	6.48421
k79_12068	2.67257
k79_48248	3.16514
k79_84398	4.0
k79_60291	9.59904
k79_48249	7.33824
k79_36189	5.39211
k79_48250	4.06796
k79_48251	3.83929
k79_84399	4.69303
k79_84400	6.10072
k79_48252	9.03492
k79_36190	3.98753
k79_48253	3.26506
k79_33	5.50918
k79_84401	5.37083
k79_36192	22.6805
k79_84402	9.08
k79_84403	4.42991
k79_34	3.42008
k79_24128	7.1788
k79_84404	3.91398
k79_35	3.23288
k79_84405	4.62921
k79_38	3.73408
k79_84406	3.54412
k79_48254	9.32068
k79_84407	2.21495
k79_12069	6.97279
k79_72330	16.5812
k79_39	4.14149
k79_84408	3.72222
k79_84409	6.39683
k79_84410	2.88696
k79_12070	4.67336
k79_12071	5.29245
k79_84411	5.14676
k79_72331	7.72125
k79_48255	8.81546
k79_84412	7.04908
k79_72332	2.35938
k79_12072	6.65603
k79_48256	3.68067
k79_84413	3.7
k79_12073	4.23881
k79_72333	7.0452
k79_24129	6.72647
k79_48257	4.26667
k79_84414	3.76859
k79_12074	5.62222
k79_72334	6.57252
k79_24130	3.39623
k79_48258	5.91367
k79_72335	4.43333
k79_24131	5.3252
k79_12075	11.8846
k79_84415	4.0
k79_24132	6.21505
k79_40	8.18186
k79_84416	4.39456
k79_24133	1.91262
k79_48259	6.62839
k79_24134	3.21429
k79_41	4.846
k79_42	4.0
k79_36193	8.03888
k79_48260	5.24496
k79_84417	4.44582
k79_36194	6.65517
k79_84418	4.9798
k79_12076	4.38107
k79_43	6.19614
k79_36195	2.67153
k79_48261	3.53571
k79_72336	5.6566
k79_45	4.02542
k79_72337	3.46094
k79_48262	3.50244
k79_84419	5.34921
k79_12077	4.62637
k79_46	10.9098
k79_48263	9.16964
k79_12078	3.97248
k79_47	12.7843
k79_84420	3.57286
k79_48	4.6
k79_48264	4.45238
k79_12079	18.5225
k79_24135	6.82912
k79_49	5.11304
k79_84421	3.42211
k79_50	2.57143
k79_84422	4.24219
k79_84423	7.40171
k79_72338	5.57818
k79_48265	5.80814
k79_84424	2.37374
k79_72339	4.39669
k79_48266	5.55085
k79_84425	2.90909
k79_48267	4.4424
k79_48268	9.37209
k79_12080	11.5565
k79_72340	5.10207
k79_12081	6.55328
k79_84426	6.77866
k79_84427	5.96774
k79_51	6.57972
k79_48269	4.72713
k79_48270	4.71311
k79_52	4.70073
k79_72341	5.28134
k79_48271	4.5035
k79_60292	11.2355
k79_53	2.63107
k79_72342	4.20134
k79_60293	4.73077
k79_84428	8.54066
k79_60294	2.68548
k79_84429	4.76238
k79_60295	4.89445
k79_60296	2.78862
k79_54	7.60062
k79_60297	5.62322
k79_84430	4.68661
k79_55	8.3089
k79_56	2.77778
k79_60298	3.90233
k79_48272	6.95569
k79_57	3.36134
k79_60299	8.45263
k79_36196	7.70317
k79_36197	2.64901
k79_12082	10.8324
k79_60300	4.94199
k79_48273	5.40098
k79_48274	4.86957
k79_58	39.1057
k79_48275	2.64762
k79_12083	4.98435
k79_36198	7.19381
k79_12084	3.10317
k79_84431	5.35161
k79_36199	4.7623
k79_84432	2.14679
k79_48276	9.62913
k79_36200	23.4016
k79_84433	5.46154
k79_36201	4.53913
k79_12085	3.29817
k79_84434	3.78378
k79_36202	5.72115
k79_84435	3.26573
k79_36203	6.74324
k79_48277	5.26807
k79_60301	5.0271
k79_84436	7.3
k79_48278	3.38776
k79_59	6.07098
k79_60302	6.325
k79_48279	3.05042
k79_60303	1.72897
k79_84437	2.71053
k79_48280	5.32653
k79_12086	5.4212
k79_84438	2.60959
k79_36204	4.77461
k79_61	6.53791
k79_60304	3.77495
k79_12087	4.05574
k79_36205	4.41477
k79_48281	3.66722
k79_36206	2.52174
k79_62	5.21229
k79_36207	3.94178
k79_48282	5.01719
k79_84439	6.40648
k79_48283	3.89493
k79_12088	9.03226
k79_84440	2.79343
k79_84441	3.38462
k79_48284	3.17391
k79_48285	3.73714
k79_24136	15.1929
k79_48286	5.2766
k79_84442	7.54876
k79_24137	4.71533
k79_12089	6.12758
k79_24139	2.33645
k79_36208	6.4608
k79_12090	7.85629
k79_36209	2.84466
k79_84443	4.0
k79_63	5.68949
k79_60306	5.50468
k79_24140	6.49733
k79_12091	8.37031
k79_24141	7.42396
k79_48287	5.23752
k79_64	3.15771
k79_12092	2.95025
k79_24142	14.4673
k79_24143	5.68636
k79_12093	10.0139
k79_24144	6.07843
k79_12094	6.5274
k79_24145	3.70085
k79_12095	11.5851
k79_24146	2.66071
k79_84444	9.07973
k79_36210	9.00459
k79_65	30.1481
k79_36211	3.4874
k79_12096	4.14251
k79_24147	3.00436
k79_36212	3.85068
k79_24148	3.05755
k79_66	2.95951
k79_84445	8.44919
k79_48288	6.51086
k79_84446	3.23358
k79_24149	7.53425
k79_48289	4.96744
k79_24150	4.61096
k79_48290	2.54783
k79_84447	5.71429
k79_24151	5.0202
k79_84448	5.04124
k79_48291	4.17273
k79_67	7.23785
k79_48292	3.85517
k79_68	10.125
k79_48293	4.50311
k79_84449	4.61588
k79_60307	5.64694
k79_36213	4.55889
k79_69	5.87739
k79_48294	3.53579
k79_36214	4.72185
k79_24152	8.05458
k79_36215	6.10256
k79_48295	5.63704
k79_12097	4.70718
k79_60308	3.40153
k79_36216	4.74107
k79_48296	4.21495
k79_60309	4.45455
k79_70	4.6971
k79_71	4.98
k79_60310	3.34239
k79_48297	5.898
k79_48298	2.53556
k79_12098	24.9039
k79_36217	6.68083
k79_12099	2.48598
k79_72	4.5335
k79_12100	11.1545
k79_73	7.01724
k79_24153	5.61493
k79_84450	6.23708
k79_12101	4.12698
k79_24154	5.4
k79_84451	3.52344
k79_74	4.47302
k79_36218	3.61832
k79_12102	3.63902
k79_24155	2.22581
k79_84452	2.45455
k79_12103	3.41122
k79_36219	4.59271
k79_84453	2.84259
k79_48299	6.03947
k79_84454	4.12258
k79_75	4.80511
k79_12104	4.91075
k79_60311	5.93118
k79_48300	8.04615
k79_36220	4.33128
k79_60312	2.88806
k79_84455	3.22671
k79_24156	6.90122
k79_60313	3.59603
k79_76	4.69631
k79_12105	6.56972
k79_84456	32.2857
k79_77	3.69792
k79_60314	3.95833
k79_24157	2.17647
k79_36221	6.59846
k79_84457	4.69231
k79_36222	5.18539
k79_84458	3.99676
k79_36223	3.9977
k79_84459	4.62025
k79_12106	6.94186
k79_24158	6.80303
k79_12107	6.88235
k79_36224	5.35969
k79_48301	14.2164
k79_12108	2.2381
k79_36225	3.85366
k79_48302	1.51042
k79_24159	6.69477
k79_36226	2.15789
k79_12109	6.95522
k79_36227	3.65693
k79_24160	4.17864
k79_36228	4.0303
k79_48303	8.11444
k79_12110	6.04461
k79_84460	20.7544
k79_48304	3.60504
k79_12111	2.71287
k79_84461	3.96875
k79_24161	6.8342
k79_36229	4.10896
k79_84462	9.22
k79_12112	5.97101
k79_36230	4.0
k79_12113	5.325
k79_60315	7.41296
k79_12114	6.58678
k79_48305	5.659
k79_84463	5.44986
k79_24162	5.51361
k79_12115	3.34028
k79_48306	2.73171
k79_84464	4.44118
k79_24163	4.83607
k79_12116	2.95946
k79_60316	7.13364
k79_12117	9.86029
k79_12118	10.9433
k79_12119	3.98291
k79_60317	5.92039
k79_36231	8.14535
k79_78	8.08369
k79_60318	5.45217
k79_12120	2.35361
k79_36232	3.1
k79_84465	6.67206
k79_79	6.38655
k79_24164	5.73729
k79_60319	4.32673
k79_12121	5.01111
k79_84466	4.43137
k79_80	6.18182
k79_60320	5.01587
