k79_23001	0
k79_9219	0
k79_54	56
k79_4623	131
k79_32227	56
k79_18446	56
k79_13835	0
k79_23054	131
k79_117	28
k79_4696	28
k79_13867	0
k79_143	56
k79_23065	56
k79_32309	56
k79_23084	56
k79_18517	56
k79_13878	56
k79_4770	28
k79_13884	56
k79_13892	56
k79_32364	56
k79_18541	131
k79_23119	56
k79_27733	0
k79_13930	56
k79_234	131
k79_9511	28
k79_9534	28
k79_32468	0
k79_27782	56
k79_272	56
k79_18663	28
k79_9552	131
k79_14017	56
k79_279	0
k79_9556	0
k79_281	0
k79_18678	56
k79_14020	0
k79_27849	0
k79_32560	56
k79_14025	0
k79_27869	56
k79_347	28
k79_14038	0
k79_27876	0
k79_18742	56
k79_9647	0
k79_401	0
k79_9656	56
k79_414	0
k79_27939	56
k79_14097	0
k79_27969	0
k79_18898	28
k79_463	56
k79_23441	0
k79_28019	56
k79_485	28
k79_9815	56
k79_32769	28
k79_9827	56
k79_5182	56
k79_18961	56
k79_28074	56
k79_32824	56
k79_14242	56
k79_23505	0
k79_5198	56
k79_9889	56
k79_651	56
k79_14315	0
k79_28197	56
k79_708	131
k79_23642	56
k79_32986	28
k79_5318	28
k79_10073	56
k79_28268	28
k79_10099	56
k79_10126	131
k79_5425	0
k79_28337	131
k79_10147	56
k79_28342	28
k79_14466	56
k79_28355	131
k79_23765	56
k79_849	28
k79_852	0
k79_14507	0
k79_19331	0
k79_33217	0
k79_5504	56
k79_33252	28
k79_28493	56
k79_14613	0
k79_23856	131
k79_934	0
k79_938	0
k79_23886	0
k79_14618	56
k79_5591	56
k79_953	131
k79_23897	0
k79_5596	56
k79_23916	56
k79_19459	56
k79_10346	0
k79_5622	28
k79_5635	56
k79_28609	56
k79_5649	56
k79_28620	56
k79_19500	28
k79_23991	0
k79_14797	0
k79_10462	131
k79_24005	56
k79_19581	131
k79_33432	56
k79_1073	56
k79_28719	0
k79_14857	56
k79_33473	0
k79_33487	56
k79_28739	56
k79_14881	56
k79_5812	56
k79_5815	28
k79_1106	131
k79_1169	0
k79_10598	56
k79_14928	0
k79_28804	0
k79_5857	0
k79_10604	131
k79_33671	56
k79_28841	28
k79_19785	28
k79_14979	0
k79_33685	56
k79_10641	131
k79_24269	56
k79_24272	131
k79_19810	56
k79_28860	56
k79_1265	0
k79_24276	56
k79_19846	0
k79_5982	56
