clustername	contigname
1	k79_16030
1	k79_86061
1	k79_23896
1	k79_15087
1	k79_85345
1	k79_92334
1	k79_35997
1	k79_81856
1	k79_37173
1	k79_13181
1	k79_15889
1	k79_81113
1	k79_18584
1	k79_53810
1	k79_16372
1	k79_23507
1	k79_71314
1	k79_87630
1	k79_36036
1	k79_9110
1	k79_73195
1	k79_41773
1	k79_12813
1	k79_58385
1	k79_15084
1	k79_81476
1	k79_83
1	k79_14996
1	k79_79045
1	k79_13472
1	k79_78151
1	k79_11659
1	k79_50674
1	k79_92635
1	k79_24304
1	k79_87300
1	k79_79976
1	k79_52410
1	k79_72597
1	k79_57074
1	k79_73792
1	k79_81048
1	k79_15497
1	k79_94517
1	k79_15554
1	k79_11899
1	k79_20458
1	k79_72465
1	k79_87735
1	k79_29185
1	k79_31333
1	k79_91604
1	k79_13813
1	k79_90090
1	k79_26204
1	k79_5702
1	k79_21226
1	k79_30868
1	k79_77793
1	k79_24501
1	k79_14446
1	k79_53851
1	k79_62867
1	k79_30417
1	k79_22421
1	k79_61966
1	k79_28896
1	k79_9644
1	k79_52025
1	k79_30205
1	k79_46757
1	k79_4182
1	k79_8432
1	k79_15283
1	k79_12561
1	k79_18718
1	k79_92736
1	k79_31536
1	k79_93240
1	k79_9857
1	k79_4075
1	k79_78087
1	k79_8719
1	k79_73378
1	k79_1195
1	k79_22509
1	k79_4263
1	k79_18690
1	k79_89599
1	k79_77821
1	k79_8404
1	k79_57671
1	k79_95111
1	k79_43393
1	k79_79452
1	k79_1420
1	k79_3825
1	k79_24329
1	k79_83751
1	k79_25437
1	k79_76501
1	k79_34941
1	k79_25646
1	k79_27765
1	k79_41282
2	k79_48034
3	k79_48449
3	k79_16891
3	k79_14210
3	k79_55777
4	k79_37742
5	k79_77248
5	k79_60848
5	k79_29666
5	k79_49920
5	k79_21966
5	k79_96051
5	k79_5764
5	k79_71545
5	k79_19103
5	k79_66755
5	k79_77317
5	k79_93487
5	k79_9437
5	k79_30682
5	k79_35527
5	k79_63582
5	k79_72493
5	k79_52380
5	k79_60972
5	k79_33563
5	k79_9791
5	k79_27228
5	k79_70184
5	k79_64865
5	k79_55525
5	k79_18735
5	k79_4201
5	k79_11586
5	k79_4902
5	k79_51168
5	k79_66701
5	k79_9843
5	k79_16383
5	k79_65410
5	k79_2795
5	k79_1543
5	k79_93447
5	k79_40848
5	k79_3000
5	k79_66076
5	k79_76354
5	k79_92449
5	k79_29748
5	k79_79406
5	k79_33454
5	k79_58674
5	k79_77973
5	k79_86574
5	k79_88636
5	k79_14189
5	k79_3329
5	k79_74057
5	k79_162
5	k79_25208
5	k79_60290
5	k79_48848
5	k79_50672
5	k79_91081
5	k79_17354
5	k79_86912
5	k79_93788
5	k79_88687
5	k79_36335
5	k79_13157
5	k79_78831
5	k79_81287
5	k79_11218
5	k79_41700
5	k79_68736
5	k79_72262
5	k79_80807
5	k79_18052
5	k79_21850
5	k79_46603
5	k79_56654
5	k79_8529
5	k79_95468
5	k79_8223
5	k79_82155
5	k79_37934
5	k79_68525
5	k79_30040
5	k79_73080
5	k79_35414
5	k79_44098
5	k79_4802
5	k79_19373
5	k79_23490
5	k79_24579
5	k79_30752
5	k79_56714
5	k79_10339
5	k79_72343
5	k79_61369
5	k79_74553
5	k79_81332
5	k79_15389
5	k79_61968
5	k79_20073
5	k79_79417
5	k79_72900
5	k79_63175
5	k79_12686
5	k79_10565
5	k79_24556
5	k79_55644
5	k79_43944
5	k79_86886
5	k79_86953
5	k79_63985
5	k79_1559
5	k79_25385
5	k79_18817
5	k79_52766
5	k79_19293
5	k79_37135
5	k79_6247
5	k79_9828
5	k79_87113
5	k79_79504
5	k79_18854
5	k79_24173
5	k79_80347
5	k79_33085
5	k79_80211
5	k79_4551
5	k79_36538
5	k79_14120
5	k79_37313
5	k79_1885
5	k79_23321
5	k79_32683
5	k79_14327
5	k79_5014
5	k79_9291
5	k79_90372
5	k79_25990
5	k79_8951
5	k79_8462
5	k79_82105
5	k79_23584
5	k79_75704
5	k79_72151
5	k79_14127
5	k79_14947
5	k79_9399
5	k79_48484
5	k79_73940
5	k79_81166
5	k79_41738
5	k79_86470
5	k79_22366
5	k79_59181
5	k79_74140
5	k79_23014
5	k79_214
5	k79_27420
5	k79_28399
5	k79_61790
5	k79_53067
5	k79_34051
5	k79_27875
5	k79_92039
5	k79_76467
5	k79_43838
5	k79_57564
5	k79_87701
5	k79_87499
5	k79_74321
5	k79_64555
5	k79_14709
5	k79_11758
5	k79_10619
5	k79_24470
5	k79_72422
5	k79_22681
5	k79_28321
5	k79_72330
5	k79_50210
5	k79_8520
5	k79_40199
5	k79_499
5	k79_24898
5	k79_32325
5	k79_20830
5	k79_23831
5	k79_56783
5	k79_6971
5	k79_10222
5	k79_39427
5	k79_87840
5	k79_52986
