name	radius	peak valley ratio	kind	bp	ncontigs	medoid
1	0.06	0.01	normal	1973481	105	k79_57074
2	None	None	loner	49678	1	k79_48034
3	0.03	0.06	normal	83373	4	k79_48449
4	None	None	loner	45981	1	k79_37742
5	0.09	0.01	normal	4243097	503	k79_59060
6	0.165	0.01	normal	2774197	837	k79_36296
7	0.08	0.08	normal	239039	56	k79_43351
8	0.055	0.07	normal	68818	10	k79_83673
9	0.085	0.02	normal	388189	59	k79_29828
10	0.125	0.0	normal	869213	190	k79_87098
11	0.07	0.06	normal	136382	26	k79_4000
12	0.1	0.07	normal	443116	203	k79_58627
13	0.135	0.0	normal	1752645	603	k79_41578
14	None	None	loner	19207	1	k79_87952
15	0.185	0.01	normal	2050928	870	k79_5803
16	0.105	0.02	normal	2012712	734	k79_28369
17	0.1	0.07	normal	353874	239	k79_41841
18	0.08	0.05	normal	93257	23	k79_26889
19	0.055	0.03	normal	54454	5	k79_57153
20	0.145	0.01	normal	968442	484	k79_84542
21	0.135	0.02	normal	1104734	646	k79_83755
22	0.045	0.03	normal	50359	10	k79_96258
23	0.095	0.09	normal	185296	61	k79_41417
24	0.025	0.07	normal	14845	1	k79_63862
25	0.04	0.09	normal	37080	7	k79_34219
26	0.06	0.05	normal	70474	11	k79_1482
27	0.075	0.09	normal	170144	47	k79_20593
28	0.1	0.03	normal	188225	46	k79_21281
29	None	None	loner	13639	1	k79_87964
30	0.135	0.01	normal	500982	207	k79_81556
31	0.1	0.04	normal	77883	22	k79_93841
32	0.075	0.07	normal	145146	35	k79_44030
33	None	None	loner	12654	1	k79_89050
34	0.045	0.02	normal	15955	2	k79_54056
35	0.115	0.04	normal	107124	37	k79_73882
36	0.09	0.06	normal	91786	18	k79_18554
37	0.065	0.04	normal	48386	13	k79_49008
38	0.1	0.05	normal	277110	85	k79_1002
39	0.11	0.09	normal	299571	137	k79_94470
40	0.03	0.04	normal	17658	2	k79_70521
41	0.12	0.04	normal	87136	37	k79_47584
42	None	None	loner	11001	1	k79_43461
43	None	None	loner	10966	1	k79_60945
44	0.115	0.01	normal	1785067	738	k79_59860
45	None	None	loner	10658	1	k79_85889
46	0.065	0.07	normal	120609	45	k79_8175
47	0.08	0.08	normal	81741	26	k79_65667
48	None	None	loner	10449	1	k79_48171
49	0.06	0.09	normal	98641	24	k79_58732
50	0.07	0.03	normal	435272	243	k79_11560
51	0.105	0.03	normal	364547	152	k79_4249
52	0.135	0.01	normal	1843393	1099	k79_84349
53	0.055	0.04	normal	43194	9	k79_49866
54	0.115	0.04	normal	80268	21	k79_14275
55	0.08	0.06	normal	197368	107	k79_71390
56	0.115	0.09	normal	209984	133	k79_46524
57	None	None	loner	9430	1	k79_21680
58	0.05	0.01	normal	18475	3	k79_33681
59	0.1	0.06	normal	526545	305	k79_93117
60	None	None	loner	9376	1	k79_76341
61	0.055	0.09	normal	65500	17	k79_12162
62	0.14	0.08	normal	340524	90	k79_62482
63	0.15	0.06	normal	774386	491	k79_29775
64	0.06	0.02	normal	56827	15	k79_4181
65	0.09	0.08	normal	71665	22	k79_26352
66	None	None	loner	8431	1	k79_58634
67	0.045	0.02	normal	12164	2	k79_69321
68	None	None	loner	8293	1	k79_34699
69	0.12	0.07	normal	96971	38	k79_90168
70	None	None	loner	8160	1	k79_73883
71	None	None	loner	8143	1	k79_88765
72	0.14	0.02	normal	1841506	1080	k79_28003
73	None	None	loner	8063	1	k79_80131
74	0.195	0.09	normal	1724639	876	k79_67115
75	0.065	0.04	normal	35941	12	k79_7300
76	0.04	0.1	normal	10142	2	k79_91393
77	0.065	0.07	normal	12531	3	k79_74857
78	None	None	loner	7595	1	k79_21259
79	None	None	loner	7487	1	k79_2980
80	None	None	loner	7269	1	k79_68142
81	0.07	0.02	normal	61962	8	k79_56698
82	0.1	0.08	normal	108940	36	k79_78125
83	0.095	0.04	normal	64952	16	k79_62989
84	0.085	0.08	normal	136813	32	k79_8513
85	0.14	0.01	normal	1157693	676	k79_69774
86	None	None	loner	6798	1	k79_54229
87	None	None	loner	6731	1	k79_69141
88	0.035	0.07	normal	14356	3	k79_1418
89	0.045	0.03	normal	40452	12	k79_78946
