#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	876	1130	-	BEFGOD_00001	9.7	9.9		
contig_3	407	964	+	BEFGOD_00002	21.4	9.0		
contig_4	5	1894	+	BEFGOD_00003	70.0	8.8	PF00005.33|ABC_tran, PF02463.25|SMC_N, PF17755.6|UvrA_DNA-bind	PFAM:PF00005.33, PFAM:PF02463.25, PFAM:PF17755.6
contig_5	153	968	+	BEFGOD_00004	31.8	9.1		
contig_5	2618	3151	+	BEFGOD_00007	20.2	5.2	PF01520.23|Amidase_3	PFAM:PF01520.23
contig_6	526	1044	+	BEFGOD_00010	20.5	6.2	PF02915.23|Rubrerythrin	PFAM:PF02915.23
contig_7	525	1337	-	BEFGOD_00011	29.7	8.6	PF02826.25|2-Hacid_dh_C, PF16924.11|DpaA_N	PFAM:PF02826.25, PFAM:PF16924.11
contig_7	1520	2560	+	BEFGOD_00012	41.2	10.0		
contig_9	10	657	+	BEFGOD_00016	22.6	9.8		
contig_9	863	997	-	BEFGOD_00017	5.1	9.1		
contig_10	158	625	+	BEFGOD_00018	17.5	5.1		
contig_10	699	1286	+	BEFGOD_00019	21.7	4.7	PF00963.24|Cohesin	PFAM:PF00963.24
contig_12	155	2482	-	BEFGOD_00020	89.7	8.9		
contig_12	3595	3765	-	BEFGOD_00022	6.5	9.9		
contig_13	2135	2821	+	BEFGOD_00025	26.0	6.3	PF00117.34|GATase, PF07722.19|Peptidase_C26	PFAM:PF00117.34, PFAM:PF07722.19, SO:0001217, UniRef:UniRef50_A0A352MV29
contig_14	1639	1872	-	BEFGOD_00032	8.9	6.5		
contig_15	65	1003	+	BEFGOD_00033	35.1	9.0	PF02421.24|FeoB_N, PF03193.22|RsgA_GTPase	PFAM:PF02421.24, PFAM:PF03193.22
contig_15	1104	1793	+	BEFGOD_00034	26.6	9.1		
contig_18	85	483	+	BEFGOD_00038	15.7	9.9		
contig_18	493	873	+	BEFGOD_00039	14.7	9.5		
contig_19	39	434	-	BEFGOD_00040	15.1	5.9		
contig_19	692	1006	+	BEFGOD_00041	12.3	4.8		SO:0001217, UniRef:UniRef50_A0A1Q6KCL4
contig_20	1992	2417	-	BEFGOD_00044	16.7	7.5		
contig_21	713	1273	-	BEFGOD_00045	21.1	4.9	PF00574.28|CLP_protease	PFAM:PF00574.28
contig_21	1569	2288	-	BEFGOD_00046	26.9	4.9		
contig_22	94	1449	+	BEFGOD_00047	54.5	9.0		
contig_22	1462	1866	+	BEFGOD_00048	15.5	6.2	PF01648.25|ACPS	PFAM:PF01648.25
contig_23	1078	1596	-	BEFGOD_00050	19.4	8.8	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_23	3443	4717	-	BEFGOD_00052	50.1	9.1		
contig_25	1111	1860	-	BEFGOD_00058	29.3	5.6		RefSeq:WP_278936366.1, SO:0001217, UniParc:UPI0024325B13, UniRef:UniRef100_UPI0024325B13, UniRef:UniRef50_UPI0024325B13, UniRef:UniRef90_UPI0024325B13
contig_25	2919	3758	-	BEFGOD_00060	31.4	8.7		RefSeq:WP_278935413.1, SO:0001217, UniParc:UPI00242CE133, UniRef:UniRef100_UPI00242CE133, UniRef:UniRef50_UPI00242CE133, UniRef:UniRef90_UPI00242CE133
contig_26	259	999	+	BEFGOD_00061	27.8	6.4	PF00753.33|Lactamase_B, PF12706.13|Lactamase_B_2	PFAM:PF00753.33, PFAM:PF12706.13
contig_27	121	1140	+	BEFGOD_00062	38.3	9.5	PF02824.27|TGS, PF13291.12|ACT_4, PF19296.4|RelA_AH_RIS	PFAM:PF02824.27, PFAM:PF13291.12, PFAM:PF19296.4
contig_28	356	913	+	BEFGOD_00063	20.7	9.0		
contig_28	1067	1210	+	BEFGOD_00064	5.6	10.0		
contig_28	1947	2651	+	BEFGOD_00066	27.6	8.4	PF03703.20|bPH_2	PFAM:PF03703.20
