#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	166	342	-	DNJDLL_00001	6.7	9.7		SO:0001217, UniRef:UniRef50_UPI000C9C6ED4, UniRef:UniRef90_UPI000C9C6ED4
contig_2	351	806	+	DNJDLL_00003	15.7	4.8		RefSeq:WP_022198284.1, SO:0001217, UniParc:UPI0003395336, UniRef:UniRef100_UPI0003395336, UniRef:UniRef50_B2UKU5, UniRef:UniRef90_B2UKU5
contig_2	1722	2273	+	DNJDLL_00004	20.6	9.2		RefSeq:WP_022198283.1, SO:0001217, UniParc:UPI00033DB397, UniRef:UniRef100_UPI00122ED736, UniRef:UniRef50_B2UKU6, UniRef:UniRef90_B2UKU6
contig_2	2544	2696	-	DNJDLL_00005	5.6	7.9		SO:0001217, UniRef:UniRef50_A0A2A2Y1H2, UniRef:UniRef90_UPI00265D4208
contig_3	832	1422	+	DNJDLL_00007	23.2	8.6		RefSeq:WP_178487697.1, SO:0001217, UniParc:UPI0015C11040, UniRef:UniRef100_UPI0015C11040, UniRef:UniRef50_A0A9P3ZNP4, UniRef:UniRef90_UPI0015C11040
contig_4	10	381	+	DNJDLL_00008	13.0	5.0	PF02800.25|Gp_dh_C	PFAM:PF02800.25
contig_6	69	632	+	DNJDLL_00014	21.0	9.8		
contig_6	1895	2833	-	DNJDLL_00016	35.5	6.2	PF12705.13|PDDEXK_1	PFAM:PF12705.13
contig_7	228	932	+	DNJDLL_00017	24.1	6.9		
contig_7	1287	1892	+	DNJDLL_00018	22.0	9.1		
contig_7	2073	2411	+	DNJDLL_00019	12.3	9.6		
contig_9	703	1020	-	DNJDLL_00021	11.4	4.7		
contig_10	743	1462	-	DNJDLL_00023	26.6	10.1		
contig_11	266	982	+	DNJDLL_00024	26.1	9.6		
contig_12	417	1271	-	DNJDLL_00027	31.0	6.1		
contig_13	162	1133	+	DNJDLL_00028	34.6	11.4		
contig_13	1277	1492	-	DNJDLL_00029	7.8	9.5		SO:0001217, UniParc:UPI00033D3707, UniRef:UniRef100_A0A2N8HYY6, UniRef:UniRef50_A0A9P3ZRD1, UniRef:UniRef90_B2UPA0
contig_13	2162	2305	-	DNJDLL_00030	5.1	5.4		
contig_14	476	1027	-	DNJDLL_00031	20.2	5.1		
contig_15	3	392	+	DNJDLL_00032	14.4	5.6	PF07475.17|Hpr_kinase_C	PFAM:PF07475.17
contig_15	808	1296	-	DNJDLL_00034	18.4	6.5		
contig_16	1141	1500	-	DNJDLL_00036	13.2	10.6		
contig_18	830	1186	-	DNJDLL_00041	13.5	9.4		
contig_19	117	1070	+	DNJDLL_00042	35.2	7.4		
contig_20	549	1580	-	DNJDLL_00043	38.2	6.6		
contig_20	1803	1964	-	DNJDLL_00044	6.1	8.1		SO:0001217, UniRef:UniRef50_UPI001C05F84C, UniRef:UniRef90_UPI001C05F84C
contig_21	382	771	+	DNJDLL_00045	14.6	10.1		
contig_26	763	1422	-	DNJDLL_00064	24.1	10.0		SO:0001217, UniRef:UniRef50_UPI002868DC31
contig_27	70	525	-	DNJDLL_00065	16.2	9.1		
contig_27	591	1007	-	DNJDLL_00066	15.2	4.5		
contig_27	3644	3970	-	DNJDLL_00069	12.1	9.2		SO:0001217, UniRef:UniRef50_B2UMQ7, UniRef:UniRef90_B2UMQ7
contig_28	34	429	+	DNJDLL_00070	14.5	10.0		
contig_28	3309	4622	-	DNJDLL_00073	47.7	5.0	PF13145.12|Rotamase_2	PFAM:PF13145.12
contig_29	1466	1981	-	DNJDLL_00075	19.4	6.5		RefSeq:WP_022198782.1, SO:0001217, UniParc:UPI00033BDFA8, UniRef:UniRef100_UPI001178601B, UniRef:UniRef50_B2UM05, UniRef:UniRef90_UPI001178601B
contig_29	2058	2474	-	DNJDLL_00076	15.3	8.5		RefSeq:WP_022198781.1, SO:0001217, UniParc:UPI00033EC219, UniRef:UniRef100_UPI000FE3E10A, UniRef:UniRef50_B2UM04, UniRef:UniRef90_UPI000FE3E10A
contig_29	2519	2653	-	DNJDLL_00077	5.3	5.6		
contig_29	5606	5806	-	DNJDLL_00080	7.1	5.2		SO:0001217, UniRef:UniRef50_UPI002868DBF6, UniRef:UniRef90_UPI002868DBF6
contig_30	2289	2984	-	DNJDLL_00082	25.7	9.1		
contig_32	1410	2195	-	DNJDLL_00085	28.5	8.6		
contig_33	91	759	+	DNJDLL_00086	23.8	9.0		
contig_34	5	766	+	DNJDLL_00095	26.7	11.7		
contig_34	1270	1428	-	DNJDLL_00096	6.1	5.0		
contig_35	30	1001	+	DNJDLL_00097	35.5	6.8		
contig_37	46	681	+	DNJDLL_00102	22.8	10.0		
contig_37	1173	1637	-	DNJDLL_00103	16.6	10.3		
contig_39	54	536	+	DNJDLL_00106	17.6	4.5		
contig_39	803	1435	+	DNJDLL_00107	21.9	11.8		
contig_39	1515	1670	-	DNJDLL_00108	5.4	11.0		
contig_40	998	2542	-	DNJDLL_00110	57.0	9.3		
contig_41	62	397	+	DNJDLL_00111	12.4	9.9		
contig_41	322	525	-	DNJDLL_00112	7.8	9.9		
contig_41	1377	2198	-	DNJDLL_00114	30.5	9.2	PF03781.22|FGE-sulfatase	PFAM:PF03781.22
contig_42	16	165	+	DNJDLL_00115	5.9	9.9		
contig_42	1008	1202	+	DNJDLL_00117	7.1	10.9		RefSeq:WP_042447447.1, SO:0001217, UniParc:UPI0005A779DB, UniRef:UniRef100_A0A2N8IXS5, UniRef:UniRef50_A0A2N8IXS5, UniRef:UniRef90_A0A2N8IXS5
contig_43	63	452	+	DNJDLL_00119	14.1	9.2		
contig_43	3067	3579	-	DNJDLL_00122	19.3	5.2		
contig_44	207	398	+	DNJDLL_00123	6.9	9.4		
contig_46	5135	6025	-	DNJDLL_00130	34.5	6.6		RefSeq:WP_102732973.1, SO:0001217, UniParc:UPI000AB9C4C7, UniRef:UniRef100_A0AAP8NKR7, UniRef:UniRef50_B2UR14, UniRef:UniRef90_B2UR14
contig_46	7603	8586	-	DNJDLL_00132	37.8	7.7		RefSeq:WP_012420112.1, SO:0001217, UniParc:UPI00017403ED, UniRef:UniRef100_B2UR12, UniRef:UniRef50_B2UR12, UniRef:UniRef90_B2UR12
contig_47	4	198	+	DNJDLL_00135	6.7	5.8		
contig_47	2837	3292	-	DNJDLL_00140	16.8	11.5		
contig_48	2303	2503	-	DNJDLL_00143	7.4	8.7		
contig_49	1830	2150	-	DNJDLL_00145	12.0	4.3	PF00709.27|Adenylsucc_synt	PFAM:PF00709.27
contig_50	167	397	+	DNJDLL_00146	8.6	10.7		
contig_50	2485	2742	-	DNJDLL_00149	9.8	9.8		
contig_50	2760	3404	-	DNJDLL_00150	22.9	10.9		
contig_51	100	1104	+	DNJDLL_00151	37.7	8.4		
contig_52	123	383	+	DNJDLL_00153	9.4	8.6		
