# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	166	342	-	DNJDLL_00001		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI000C9C6ED4, UniRef:UniRef90_UPI000C9C6ED4
contig_1	cds	390	887	-	DNJDLL_00002		DUF805 domain-containing protein	RefSeq:WP_046434389.1, SO:0001217, UniParc:UPI00062342BF, UniRef:UniRef100_A0AAP8NJW9, UniRef:UniRef50_A0AAP8NJW9, UniRef:UniRef90_A0AAP8NJW9
contig_2	cds	351	806	+	DNJDLL_00003		hypothetical protein	RefSeq:WP_022198284.1, SO:0001217, UniParc:UPI0003395336, UniRef:UniRef100_UPI0003395336, UniRef:UniRef50_B2UKU5, UniRef:UniRef90_B2UKU5
contig_2	cds	1722	2273	+	DNJDLL_00004		hypothetical protein	RefSeq:WP_022198283.1, SO:0001217, UniParc:UPI00033DB397, UniRef:UniRef100_UPI00122ED736, UniRef:UniRef50_B2UKU6, UniRef:UniRef90_B2UKU6
contig_2	cds	2544	2696	-	DNJDLL_00005		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2A2Y1H2, UniRef:UniRef90_UPI00265D4208
contig_3	cds	16	819	+	DNJDLL_00006		RHS repeat-associated core domain-containing protein	SO:0001217, UniRef:UniRef50_UPI00319DC7ED, UniRef:UniRef90_UPI00319DC7ED
contig_3	cds	832	1422	+	DNJDLL_00007		hypothetical protein	RefSeq:WP_178487697.1, SO:0001217, UniParc:UPI0015C11040, UniRef:UniRef100_UPI0015C11040, UniRef:UniRef50_A0A9P3ZNP4, UniRef:UniRef90_UPI0015C11040
contig_4	cds	10	381	+	DNJDLL_00008		hypothetical protein	PFAM:PF02800.25
contig_4	cds	549	1760	+	DNJDLL_00009	pgk	Phosphoglycerate kinase	COG:COG0126, COG:G, EC:2.7.2.3, GO:0004618, GO:0005524, GO:0005829, GO:0006094, GO:0006096, GO:0043531, KEGG:K00927, RefSeq:WP_022196850.1, SO:0001217, UniParc:UPI000339FD12, UniRef:UniRef100_UPI000339FD12, UniRef:UniRef50_B2UKW8, UniRef:UniRef90_B2UKW8
contig_4	cds	1767	2984	+	DNJDLL_00010		TraB/GumN family protein	SO:0001217, UniRef:UniRef50_B2UKW9, UniRef:UniRef90_B2UKW9
contig_4	cds	3119	4369	-	DNJDLL_00011		glycoside hydrolase family 97 catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_UPI00165147D3, UniRef:UniRef90_UPI00165147D3
contig_5	cds	516	923	+	DNJDLL_00012	mntR	Iron dependent repressor	COG:COG1321, COG:K, RefSeq:WP_022197912.1, SO:0001217, UniParc:UPI00033B7C59, UniRef:UniRef100_UPI00033B7C59, UniRef:UniRef50_B2UR23, UniRef:UniRef90_B2UR23
contig_5	cds	986	2065	-	DNJDLL_00013	zntA	(pseudo) Heavy metal translocating P-type ATPase	COG:COG2217, COG:P, SO:0001217, UniRef:UniRef50_A0A858BYB6, UniRef:UniRef90_A0AAE3BH63
contig_6	cds	69	632	+	DNJDLL_00014		hypothetical protein	
contig_6	cds	894	1682	+	DNJDLL_00015		PEP-CTERM sorting domain-containing protein	RefSeq:WP_046435793.1, SO:0001217, UniParc:UPI0006237A48, UniRef:UniRef100_UPI0006237A48, UniRef:UniRef50_B2ULJ4, UniRef:UniRef90_UPI00033B87AB
contig_6	cds	1895	2833	-	DNJDLL_00016		hypothetical protein	PFAM:PF12705.13
contig_7	cds	228	932	+	DNJDLL_00017		hypothetical protein	
contig_7	cds	1287	1892	+	DNJDLL_00018		hypothetical protein	
contig_7	cds	2073	2411	+	DNJDLL_00019		hypothetical protein	
contig_8	cds	219	1016	-	DNJDLL_00020		Tetratricopeptide repeat protein	RefSeq:WP_287688260.1, SO:0001217, UniParc:UPI002588E248, UniRef:UniRef100_A0AAX0WI80, UniRef:UniRef50_A0A139TVF4, UniRef:UniRef90_A0AAP8T8K1
contig_9	cds	703	1020	-	DNJDLL_00021		hypothetical protein	
contig_10	cds	466	678	+	DNJDLL_00022		PUR-alpha/beta/gamma DNA/RNA-binding	RefSeq:WP_012421062.1, SO:0001217, UniParc:UPI0001640714, UniRef:UniRef100_B2UP77, UniRef:UniRef50_A0A840VBX3, UniRef:UniRef90_B2UP77
contig_10	cds	743	1462	-	DNJDLL_00023		hypothetical protein	
contig_11	cds	266	982	+	DNJDLL_00024		hypothetical protein	
contig_11	cds	979	2499	+	DNJDLL_00025		Peptidase M60	RefSeq:WP_215439511.1, SO:0001217, UniParc:UPI001BFF6C49, UniRef:UniRef100_UPI001BFF6C49, UniRef:UniRef50_B2UPI7, UniRef:UniRef90_A0AAX0WJV0
contig_12	cds	60	281	+	DNJDLL_00026		DUF4230 domain-containing protein	SO:0001217, UniRef:UniRef50_UPI00265CF617
contig_12	cds	417	1271	-	DNJDLL_00027		hypothetical protein	
contig_13	cds	162	1133	+	DNJDLL_00028		hypothetical protein	
contig_13	cds	1277	1492	-	DNJDLL_00029		hypothetical protein	SO:0001217, UniParc:UPI00033D3707, UniRef:UniRef100_A0A2N8HYY6, UniRef:UniRef50_A0A9P3ZRD1, UniRef:UniRef90_B2UPA0
contig_13	cds	2162	2305	-	DNJDLL_00030		hypothetical protein	
contig_14	cds	476	1027	-	DNJDLL_00031		hypothetical protein	
