#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	25	372	+	DIEIIL_00001	13.5	5.1		
contig_2	294	779	-	DIEIIL_00004	19.0	10.4		
contig_5	750	1220	-	DIEIIL_00010	16.6	9.4		
contig_6	26	265	-	DIEIIL_00011	9.0	9.6		
contig_9	3204	3692	+	DIEIIL_00021	19.0	9.5	PF13392.12|HNH_3	PFAM:PF13392.12
contig_10	1707	3059	-	DIEIIL_00023	48.3	8.5	PF02554.20|CstA	PFAM:PF02554.20
contig_12	55	717	+	DIEIIL_00024	26.1	5.1	PF13307.12|Helicase_C_2	PFAM:PF13307.12
contig_12	726	1019	-	DIEIIL_00025	11.0	4.9		
contig_15	1751	2266	-	DIEIIL_00031	20.3	8.8	PF04397.21|LytTR	PFAM:PF04397.21
contig_16	19	615	+	DIEIIL_00032	21.5	9.6		
contig_18	40	195	+	DIEIIL_00038	6.0	6.1		
contig_18	114	725	-	DIEIIL_00039	24.0	9.0		
contig_19	622	1254	-	DIEIIL_00040	24.6	9.5		
contig_23	1548	1697	-	DIEIIL_00045	5.4	8.6		RefSeq:WP_022220746.1, SO:0001217, UniParc:UPI000335B57A, UniRef:UniRef100_A0A174K8X0, UniRef:UniRef50_A0A174K8X0, UniRef:UniRef90_A0A174K8X0
contig_25	719	1207	+	DIEIIL_00055	19.4	8.5		
contig_29	1246	1488	+	DIEIIL_00059	9.1	5.5		RefSeq:WP_022220014.1, SO:0001217, UniParc:UPI000336D14D, UniRef:UniRef100_A0A174RD42, UniRef:UniRef50_A0A174RD42, UniRef:UniRef90_A0A174RD42
contig_30	6496	6927	-	DIEIIL_00072	16.7	8.5		
contig_31	1340	2617	-	DIEIIL_00073	46.9	8.6	PF01645.23|Glu_synthase	PFAM:PF01645.23
contig_32	172	990	+	DIEIIL_00074	29.6	5.2	PF00742.24|Homoserine_dh, PF01842.31|ACT	PFAM:PF00742.24, PFAM:PF01842.31
contig_33	958	1170	-	DIEIIL_00077	7.8	6.0		
contig_34	297	785	+	DIEIIL_00078	19.3	10.0		
contig_35	79	414	+	DIEIIL_00080	12.9	5.9	PF03461.20|TRCF	PFAM:PF03461.20
contig_36	1821	2270	-	DIEIIL_00082	17.4	8.9		
