# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	25	372	+	DIEIIL_00001		hypothetical protein	
contig_1	cds	387	1760	+	DIEIIL_00002	xpaC	5-bromo-4-chloroindolyl phosphate hydrolysis protein	COG:COG4915, COG:QR, RefSeq:WP_022220822.1, SO:0001217, UniParc:UPI000335819D, UniRef:UniRef100_C0B5X9, UniRef:UniRef50_A0A3E2WX01, UniRef:UniRef90_C0B5X9
contig_1	cds	1782	2915	+	DIEIIL_00003	yaaN	Toxic anion resistance protein TelA	COG:COG3853, COG:V, RefSeq:WP_022220821.1, SO:0001217, UniParc:UPI0003395545, UniRef:UniRef100_C0B5Y2, UniRef:UniRef50_C0CJ36, UniRef:UniRef90_C0B5Y2
contig_2	cds	294	779	-	DIEIIL_00004		hypothetical protein	
contig_3	cds	53	1303	+	DIEIIL_00005	yjjB	Threonine/Serine exporter ThrE domain-containing protein	COG:C, COG:COG3610, RefSeq:WP_022220339.1, SO:0001217, UniParc:UPI00033789D1, UniRef:UniRef100_UPI00033789D1, UniRef:UniRef50_B0G540, UniRef:UniRef90_C0B5R3
contig_4	cds	134	598	-	DIEIIL_00006		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A1C5WNQ4, UniRef:UniRef90_A0A174CNZ5
contig_4	cds	612	899	-	DIEIIL_00007	rpsF	30S ribosomal protein S6	COG:COG0360, COG:J, GO:0000314, GO:0003735, GO:0006412, GO:0022627, RefSeq:WP_008368913.1, SO:0001217, UniParc:UPI000197E30C, UniRef:UniRef100_C0B819, UniRef:UniRef50_D9R1Y0, UniRef:UniRef90_C0B819
contig_4	cds	1000	1194	-	DIEIIL_00008		DUF951 domain-containing protein	COG:COG4481, COG:S, RefSeq:WP_022221102.1, SO:0001217, UniParc:UPI00033FE750, UniRef:UniRef100_A0A174AAR1, UniRef:UniRef50_A0A8J4H388, UniRef:UniRef90_C0B820
contig_4	cds	1210	2040	-	DIEIIL_00009	srtB	class B sortase	COG:COG4509, COG:S, EC:3.4.22.71, GO:0004197, GO:0016485, GO:0045184, KEGG:K08600, RefSeq:WP_008368917.1, SO:0001217, UniParc:UPI000197E30E, UniRef:UniRef100_C0B821, UniRef:UniRef50_A0A174HSR8, UniRef:UniRef90_A0A174HSR8
contig_5	cds	750	1220	-	DIEIIL_00010		hypothetical protein	
contig_6	cds	26	265	-	DIEIIL_00011		hypothetical protein	
contig_6	cds	275	1996	-	DIEIIL_00012		ABC transporter permease	SO:0001217, UniRef:UniRef50_Q6HGP6, UniRef:UniRef90_A0A416NRM0
contig_6	cds	2010	2672	-	DIEIIL_00013	lolD	Lipoprotein-releasing system ATP-binding protein LolD	SO:0001217, UniRef:UniRef50_A0A1C5RCG9, UniRef:UniRef90_A0A1C5RCG9
contig_7	cds	102	821	+	DIEIIL_00014		XRE family transcriptional regulator	SO:0001217, UniRef:UniRef50_I9RLN7, UniRef:UniRef90_A0A414M9U8
contig_7	cds	826	1890	+	DIEIIL_00015	iap	Arginyl aminopeptidase	COG:COG2234, COG:OE, RefSeq:WP_242699434.1, SO:0001217, UniParc:UPI0006C321E7, UniRef:UniRef100_A0A173T6D2, UniRef:UniRef50_A0A174FB06, UniRef:UniRef90_A0A173T6D2
contig_7	cds	2085	2531	+	DIEIIL_00016		RNA polymerase sigma-70 region 4 domain-containing protein	RefSeq:WP_003505338.1, SO:0001217, UniParc:UPI0001654E5B, UniRef:UniRef100_A0A329TSJ0, UniRef:UniRef50_A0A828T553, UniRef:UniRef90_A0A828T553
contig_7	cds	2521	2724	+	DIEIIL_00017		Helix-turn-helix conjugative transposon-like domain-containing protein	RefSeq:WP_003505336.1, SO:0001217, UniParc:UPI0001654F8F, UniRef:UniRef100_A0A329TTB9, UniRef:UniRef50_A0A828T6A9, UniRef:UniRef90_A0A828T6A9
contig_8	cds	241	1113	-	DIEIIL_00018	cotI	Spore coat protein, CotS family	COG:COG5881, COG:D, SO:0001217, UniRef:UniRef50_F7KSE9, UniRef:UniRef90_C0B9T7
contig_9	cds	348	1487	-	DIEIIL_00019		AAA family ATPase	SO:0001217, UniRef:UniRef50_UPI00156F9D8B
contig_9	cds	1750	2961	+	DIEIIL_00020		DNA polymerase III subunit alpha	SO:0001217, UniRef:UniRef50_UPI00156F9353
contig_9	cds	3204	3692	+	DIEIIL_00021		hypothetical protein	PFAM:PF13392.12
contig_10	cds	1061	1546	-	DIEIIL_00022	marR	MarR family transcriptional regulator	COG:COG1846, COG:K, RefSeq:WP_008368600.1, SO:0001217, UniParc:UPI000197DF9C, UniRef:UniRef100_C0B7K7, UniRef:UniRef50_A0A173QWV6, UniRef:UniRef90_A0A173QWV6
contig_10	cds	1707	3059	-	DIEIIL_00023		hypothetical protein	PFAM:PF02554.20
contig_12	cds	55	717	+	DIEIIL_00024		hypothetical protein	PFAM:PF13307.12
contig_12	cds	726	1019	-	DIEIIL_00025		hypothetical protein	
contig_13	cds	25	1323	+	DIEIIL_00026		Protein kinase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A849XTN5, UniRef:UniRef90_A0A849XTN5
contig_14	cds	106	903	+	DIEIIL_00027		zinc-binding dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2X2T2A0, UniRef:UniRef90_UPI0034A535D9
contig_14	cds	930	2126	+	DIEIIL_00028	bioF	glycine C-acetyltransferase	COG:COG0156, COG:H, EC:2.3.1.29, GO:0008890, GO:0009058, GO:0030170, RefSeq:WP_022220729.1, SO:0001217, UniParc:UPI00033A38D7, UniRef:UniRef100_A0A173WFV5, UniRef:UniRef50_A0A083ZUJ6, UniRef:UniRef90_A0A173WFV5
contig_15	cds	38	550	+	DIEIIL_00029		DUF4364 domain-containing protein	RefSeq:WP_022220406.1, SO:0001217, UniParc:UPI000338E026, UniRef:UniRef100_A0A1C5VVE8, UniRef:UniRef50_R9MJH0, UniRef:UniRef90_C0B926
contig_15	cds	916	1758	-	DIEIIL_00030	citA	Histidine kinase domain-containing protein	COG:COG3290, COG:T, EC:2.7.13.3, KEGG:K07706, SO:0001217, UniRef:UniRef50_A0AA37QJA7, UniRef:UniRef90_A0AA37QJA7
contig_15	cds	1751	2266	-	DIEIIL_00031		hypothetical protein	PFAM:PF04397.21
contig_16	cds	19	615	+	DIEIIL_00032		hypothetical protein	
contig_16	cds	643	816	+	DIEIIL_00033		Chorismate--pyruvate lyase	RefSeq:WP_008373040.1, SO:0001217, UniParc:UPI000197E07C, UniRef:UniRef100_C0B4R2, UniRef:UniRef50_R9J218, UniRef:UniRef90_C0B4R2
contig_16	cds	925	1932	+	DIEIIL_00034	wcaA	Bactoprenol glucosyl transferase-like protein from prophage CPS-53	COG:COG0463, COG:M, SO:0001217, UniParc:UPI000197E07A, UniRef:UniRef100_C0B4R0, UniRef:UniRef50_A0A174NEJ2, UniRef:UniRef90_A0A174LX31
contig_17	cds	307	813	-	DIEIIL_00035	pgpB	Undecaprenyl-diphosphatase BcrC	COG:COG0671, COG:I, RefSeq:WP_022220235.1, SO:0001217, UniParc:UPI000337E732, UniRef:UniRef100_A0A174ACL3, UniRef:UniRef50_A0A174N7V5, UniRef:UniRef90_A0A173WVH3
contig_17	cds	920	1285	+	DIEIIL_00036		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3E4GPC0, UniRef:UniRef90_A0AA37QN17
contig_17	cds	1466	3097	-	DIEIIL_00037	amyA	Oligo-1,6-glucosidase	COG:COG0366, COG:G, EC:3.2.1.70, KEGG:K01215, RefSeq:WP_173692347.1, SO:0001217, UniParc:UPI0008223C79, UniRef:UniRef100_A0A849XVC1, UniRef:UniRef50_A0A8E0R5A8, UniRef:UniRef90_C0B7W1
contig_18	cds	40	195	+	DIEIIL_00038		hypothetical protein	
contig_18	cds	114	725	-	DIEIIL_00039		hypothetical protein	
contig_19	cds	622	1254	-	DIEIIL_00040		hypothetical protein	
contig_20	tRNA	471	541	+	DIEIIL_00041	trnG	tRNA-Gly(tcc)	SO:0000260
contig_21	cds	97	1494	+	DIEIIL_00042	ftsI	Penicillin-binding protein, transpeptidase domain protein	COG:COG0768, COG:DM, SO:0001217, UniRef:UniRef50_A0A9W6FDT3, UniRef:UniRef90_C0BBT3
contig_22	cds	31	1065	-	DIEIIL_00043	tdh	NADP-dependent alcohol dehydrogenase	COG:COG1063, COG:ER, RefSeq:WP_044998576.1, SO:0001217, UniParc:UPI0002DE5C88, UniRef:UniRef100_C0B6V3, UniRef:UniRef50_A0A174MZM7, UniRef:UniRef90_A0A174M008
contig_23	cds	204	1520	-	DIEIIL_00044	lAP4	M18 family aminopeptidase	COG:COG1362, COG:E, GO:0004177, GO:0006508, GO:0008270, RefSeq:WP_008371823.1, SO:0001217, UniParc:UPI000197E57C, UniRef:UniRef100_C0B8D9, UniRef:UniRef50_A0A1Y4NK64, UniRef:UniRef90_C0B8D9
contig_23	cds	1548	1697	-	DIEIIL_00045		hypothetical protein	RefSeq:WP_022220746.1, SO:0001217, UniParc:UPI000335B57A, UniRef:UniRef100_A0A174K8X0, UniRef:UniRef50_A0A174K8X0, UniRef:UniRef90_A0A174K8X0
contig_23	cds	1805	3022	-	DIEIIL_00046	pepT	peptidase T	COG:COG2195, COG:E, EC:3.4.11.4, GO:0006508, GO:0008270, GO:0045148, SO:0001217, UniRef:UniRef50_A0A109RNS6, UniRef:UniRef90_A0A173U7U5
contig_23	cds	3226	3771	-	DIEIIL_00047	yfcE	phosphodiesterase	COG:COG0622, COG:R, EC:3.1.4.-, KEGG:K07095, RefSeq:WP_022220747.1, SO:0001217, UniParc:UPI0002FA380A, UniRef:UniRef100_C0B8E2, UniRef:UniRef50_A0A564W9X9, UniRef:UniRef90_C0B8E2
contig_23	cds	3886	6123	-	DIEIIL_00048	uvrA	UvrABC system protein A	COG:COG0178, COG:L, KEGG:K03701, RefSeq:WP_008371830.1, SO:0001217, UniParc:UPI000197E580, UniRef:UniRef100_C0B8E3, UniRef:UniRef50_A0A5R8LS89, UniRef:UniRef90_A0A173U7R2
contig_23	cds	6288	7109	+	DIEIIL_00049	hisJ	Arginine-binding extracellular protein ArtP	COG:COG0834, COG:ET, RefSeq:WP_022220748.1, SO:0001217, UniParc:UPI000340EE65, UniRef:UniRef100_A0A173U7Q4, UniRef:UniRef50_R5EA39, UniRef:UniRef90_A0A173U7Q4
contig_23	cds	7131	7817	+	DIEIIL_00050	hisM	Amino acid ABC transporter permease	COG:COG0765, COG:E, RefSeq:WP_008371833.1, SO:0001217, UniParc:UPI000197E582, UniRef:UniRef100_C0B8E5, UniRef:UniRef50_F4XFX3, UniRef:UniRef90_A0A174KG84
contig_23	cds	7833	8618	+	DIEIIL_00051	glnQ	L-cystine import ATP-binding protein TcyC	COG:COG1126, COG:E, RefSeq:WP_022220749.1, SO:0001217, UniParc:UPI0003383085, UniRef:UniRef100_A0A173WEG0, UniRef:UniRef50_A0A173U3V1, UniRef:UniRef90_A0A173U3V1
