#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	770	916	+	PFGFFE_0009	4.9	10.0		
contig_2	3535	4062	-	PFGFFE_0012	19.4	9.4		SO:0001217, UniRef:UniRef50_UPI00307C94FA, UniRef:UniRef90_UPI00307C94FA
contig_5	81	596	+	PFGFFE_0025	19.9	5.4		
contig_6	2236	2637	-	PFGFFE_0029	15.4	9.8		
contig_7	79	213	+	PFGFFE_0030	5.2	6.9		
contig_7	1744	1938	-	PFGFFE_0032	7.3	4.9		
contig_7	7116	7217	-	PFGFFE_0036	3.8	8.5		
contig_7	7214	7324	-	PFGFFE_0037	4.4	5.9		SO:0001217, UniRef:UniRef50_R5VJW0, UniRef:UniRef90_R5VJW0
contig_9	18	1358	+	PFGFFE_0046	49.1	4.7		
contig_12	2869	3093	-	PFGFFE_0066	8.7	5.6	PF01687.23|Flavokinase	PFAM:PF01687.23
contig_19	392	1087	+	PFGFFE_0085	26.4	11.3		
contig_19	7523	8068	-	PFGFFE_0090	21.2	5.7	PF00578.27|AhpC-TSA, PF08534.16|Redoxin, PF13905.12|Thioredoxin_8	PFAM:PF00578.27, PFAM:PF08534.16, PFAM:PF13905.12
contig_22	2333	2569	-	PFGFFE_0094	8.6	7.0		
contig_23	5633	6067	-	PFGFFE_0100	15.1	5.3	PF02800.25|Gp_dh_C	PFAM:PF02800.25
contig_25	801	1328	-	PFGFFE_0103	20.2	5.7		RefSeq:WP_270665116.1, SO:0001217, UniParc:UPI0020476499, UniRef:UniRef100_UPI0020476499, UniRef:UniRef90_A0A8S5NDW2
contig_30	2343	3455	-	PFGFFE_0120	41.5	5.4	PF00009.33|GTP_EFTU, PF22594.2|GTP-eEF1A_C	PFAM:PF00009.33, PFAM:PF22594.2
contig_31	30	371	+	PFGFFE_0121	12.2	8.5		
contig_32	3	425	+	PFGFFE_0123	15.4	8.3		
contig_37	94	1377	+	PFGFFE_0161	48.2	4.9		
contig_41	544	951	-	PFGFFE_0178	15.7	7.1		SO:0001217, UniRef:UniRef50_R5V931, UniRef:UniRef90_R5V931
