k79_709 flag=1 multi=12.0000 len=1328	ERR011347_MEGAHIT_TaxVamb.1000
k79_17469 flag=1 multi=4.0000 len=1326	ERR011347_MEGAHIT_TaxVamb.1001
k79_8225 flag=1 multi=6.0000 len=1326	ERR011347_MEGAHIT_TaxVamb.1002
k79_54627 flag=1 multi=6.0000 len=1326	ERR011347_MEGAHIT_TaxVamb.1003
k79_48431 flag=1 multi=7.0000 len=1326	ERR011347_MEGAHIT_TaxVamb.1004
k79_27576 flag=1 multi=9.0000 len=1325	ERR011347_MEGAHIT_TaxVamb.1005
k79_78757 flag=1 multi=8.0000 len=1322	ERR011347_MEGAHIT_TaxVamb.1006
k79_74656 flag=1 multi=6.0000 len=1320	ERR011347_MEGAHIT_TaxVamb.1007
k79_51439 flag=1 multi=10.0000 len=1318	ERR011347_MEGAHIT_TaxVamb.1008
k79_60698 flag=1 multi=5.0000 len=1318	ERR011347_MEGAHIT_TaxVamb.1009
k79_96312 flag=1 multi=10.0000 len=4294	ERR011347_MEGAHIT_TaxVamb.100
k79_57381 flag=1 multi=10.0000 len=3771	ERR011347_MEGAHIT_TaxVamb.100
k79_58687 flag=1 multi=10.0000 len=1318	ERR011347_MEGAHIT_TaxVamb.1010
k79_10484 flag=1 multi=5.0000 len=1317	ERR011347_MEGAHIT_TaxVamb.1011
k79_2549 flag=1 multi=6.0000 len=1316	ERR011347_MEGAHIT_TaxVamb.1012
k79_57744 flag=1 multi=6.0000 len=1316	ERR011347_MEGAHIT_TaxVamb.1013
k79_24988 flag=1 multi=6.0000 len=1315	ERR011347_MEGAHIT_TaxVamb.1014
k79_68011 flag=1 multi=8.0000 len=1314	ERR011347_MEGAHIT_TaxVamb.1015
k79_77065 flag=1 multi=5.0000 len=1314	ERR011347_MEGAHIT_TaxVamb.1016
k79_92194 flag=1 multi=8.0000 len=1314	ERR011347_MEGAHIT_TaxVamb.1017
k79_68633 flag=1 multi=7.0000 len=1311	ERR011347_MEGAHIT_TaxVamb.1018
k79_13659 flag=1 multi=5.0000 len=1310	ERR011347_MEGAHIT_TaxVamb.1019
k79_86349 flag=1 multi=12.0000 len=3637	ERR011347_MEGAHIT_TaxVamb.101
