k79_28844 flag=1 multi=4.0000 len=1696	ERR011348_MEGAHIT_TaxVamb.1000
k79_14857 flag=1 multi=5.0000 len=1689	ERR011348_MEGAHIT_TaxVamb.1001
k79_11978 flag=1 multi=4.0000 len=1084	ERR011348_MEGAHIT_TaxVamb.1001
k79_78325 flag=1 multi=4.0000 len=1439	ERR011348_MEGAHIT_TaxVamb.1001
k79_54905 flag=1 multi=5.0000 len=1546	ERR011348_MEGAHIT_TaxVamb.1001
k79_70571 flag=1 multi=3.0000 len=1044	ERR011348_MEGAHIT_TaxVamb.1001
k79_82923 flag=1 multi=4.0000 len=1559	ERR011348_MEGAHIT_TaxVamb.1001
k79_39704 flag=1 multi=4.0000 len=1087	ERR011348_MEGAHIT_TaxVamb.1001
k79_80644 flag=1 multi=4.0000 len=1232	ERR011348_MEGAHIT_TaxVamb.1001
k79_21503 flag=1 multi=4.0000 len=1048	ERR011348_MEGAHIT_TaxVamb.1001
k79_26702 flag=1 multi=5.0000 len=1321	ERR011348_MEGAHIT_TaxVamb.1001
k79_13841 flag=1 multi=4.0000 len=1178	ERR011348_MEGAHIT_TaxVamb.1001
k79_48333 flag=1 multi=4.0000 len=1688	ERR011348_MEGAHIT_TaxVamb.1002
k79_44586 flag=1 multi=4.0000 len=1384	ERR011348_MEGAHIT_TaxVamb.1003
k79_14187 flag=1 multi=3.0000 len=1074	ERR011348_MEGAHIT_TaxVamb.1003
k79_188 flag=1 multi=3.0000 len=1683	ERR011348_MEGAHIT_TaxVamb.1003
k79_84706 flag=1 multi=3.0000 len=1029	ERR011348_MEGAHIT_TaxVamb.1003
k79_2172 flag=1 multi=2.9500 len=1438	ERR011348_MEGAHIT_TaxVamb.1003
k79_78141 flag=1 multi=3.0000 len=1681	ERR011348_MEGAHIT_TaxVamb.1004
k79_89695 flag=1 multi=7.0000 len=1678	ERR011348_MEGAHIT_TaxVamb.1005
k79_29464 flag=0 multi=3.8145 len=1664	ERR011348_MEGAHIT_TaxVamb.1006
k79_18421 flag=1 multi=3.0000 len=1058	ERR011348_MEGAHIT_TaxVamb.1006
k79_26698 flag=1 multi=4.0000 len=1343	ERR011348_MEGAHIT_TaxVamb.1006
k79_31245 flag=1 multi=8.0000 len=1661	ERR011348_MEGAHIT_TaxVamb.1007
