name	radius	peak valley ratio	kind	bp	ncontigs	medoid
1	0.065	0.05	normal	1252065	71	k79_10604
2	0.125	0.01	normal	2293276	384	k79_6293
3	None	None	loner	28699	1	k79_14315
4	0.295	0.06	normal	1250512	712	k79_12918
5	None	None	loner	7660	1	k79_33217
6	None	None	loner	6039	1	k79_27849
7	None	None	loner	5801	1	k79_7649
8	None	None	loner	5567	1	k79_12947
9	None	None	loner	5373	1	k79_36707
10	None	None	loner	5083	1	k79_27733
11	0.15	0.01	normal	415062	289	k79_26811
12	0.295	0.07	normal	1146643	679	k79_21211
13	None	None	loner	4008	1	k79_12287
14	0.145	0.01	normal	46837	18	k79_6762
15	None	None	loner	3141	1	k79_36080
16	None	None	loner	2861	1	k79_19885
17	None	None	loner	2564	1	k79_10346
18	None	None	loner	2458	1	k79_19131
19	0.09	0.0	normal	3339	2	k79_29583
20	None	None	loner	2145	1	k79_19395
21	None	None	loner	2046	1	k79_15566
22	None	None	loner	2011	1	k79_31167
23	None	None	loner	1901	1	k79_14243
24	None	None	loner	1898	1	k79_33753
25	None	None	loner	1828	1	k79_21632
26	None	None	loner	1803	1	k79_11263
27	None	None	loner	1758	1	k79_10475
28	None	None	loner	1748	1	k79_8298
29	None	None	loner	1738	1	k79_31813
30	None	None	loner	1662	1	k79_26418
31	None	None	loner	1651	1	k79_6166
32	None	None	loner	1621	1	k79_19035
33	None	None	loner	1620	1	k79_17971
34	None	None	loner	1596	1	k79_27266
35	None	None	loner	1554	1	k79_6765
36	None	None	loner	1527	1	k79_13781
37	None	None	loner	1493	1	k79_8877
38	None	None	loner	1488	1	k79_35481
39	None	None	loner	1475	1	k79_12389
40	None	None	loner	1470	1	k79_10650
41	None	None	loner	1446	1	k79_18457
42	None	None	loner	1441	1	k79_2324
43	None	None	loner	1419	1	k79_5760
44	None	None	loner	1403	1	k79_35113
45	None	None	loner	1373	1	k79_6610
46	0.125	0.09	normal	74674	61	k79_35539
47	None	None	loner	1370	1	k79_15407
48	None	None	loner	1366	1	k79_33201
49	None	None	loner	1364	1	k79_22286
50	None	None	loner	1361	1	k79_5328
51	None	None	loner	1334	1	k79_16256
52	None	None	loner	1321	1	k79_118
53	None	None	loner	1313	1	k79_36560
54	None	None	loner	1303	1	k79_8795
55	None	None	loner	1296	1	k79_24561
56	None	None	loner	1288	1	k79_31963
57	None	None	loner	1282	1	k79_3538
58	None	None	loner	1265	1	k79_35102
59	None	None	loner	1253	1	k79_31855
60	None	None	loner	1251	1	k79_5625
61	None	None	loner	1232	1	k79_26825
62	None	None	loner	1231	1	k79_31580
63	None	None	loner	1220	1	k79_18881
64	None	None	loner	1218	1	k79_6388
65	None	None	loner	1211	1	k79_539
66	None	None	loner	1205	1	k79_24917
67	None	None	loner	1204	1	k79_11815
68	None	None	loner	1203	1	k79_21614
69	None	None	loner	1195	1	k79_32633
70	None	None	loner	1190	1	k79_18737
71	None	None	loner	1180	1	k79_24838
72	None	None	loner	1164	1	k79_30252
73	None	None	loner	1161	1	k79_13370
74	None	None	loner	1131	1	k79_24191
75	None	None	loner	1119	1	k79_21662
76	None	None	loner	1114	1	k79_9872
77	None	None	loner	1113	1	k79_36405
78	None	None	loner	1105	1	k79_29083
79	None	None	loner	1099	1	k79_20389
80	None	None	loner	1096	1	k79_29121
81	None	None	loner	1094	1	k79_9485
82	None	None	loner	1089	1	k79_16361
83	None	None	loner	1085	1	k79_14510
84	None	None	loner	1084	1	k79_5288
85	None	None	loner	1075	1	k79_5987
86	None	None	loner	1070	1	k79_13402
87	None	None	loner	1068	1	k79_28768
88	None	None	loner	1056	1	k79_3142
89	None	None	loner	1055	1	k79_25868
90	None	None	loner	1052	1	k79_10629
91	None	None	loner	1044	1	k79_2284
92	None	None	loner	1043	1	k79_14780
93	None	None	loner	1041	1	k79_27062
94	None	None	loner	1031	1	k79_7379
95	None	None	loner	1027	1	k79_18934
96	None	None	loner	1022	1	k79_25985
97	None	None	loner	1018	1	k79_7511
98	None	None	loner	1009	1	k79_5342
99	None	None	loner	1009	1	k79_25112
100	None	None	loner	1009	1	k79_15973
101	None	None	loner	1008	1	k79_17225
102	None	None	loner	1601	1	k79_20922
103	None	None	loner	1552	1	k79_21512
104	0.065	0.2	normal	51553	14	k79_30762
105	0.025	0.17	normal	5310	1	k79_8614
106	None	None	loner	4757	1	k79_14928
107	None	None	loner	2817	1	k79_9647
108	0.025	0.13	normal	2191	1	k79_6257
109	None	None	loner	1521	1	k79_21490
110	None	None	loner	1369	1	k79_19985
111	0.025	0.16	normal	1274	1	k79_2973
112	None	None	loner	1085	1	k79_3494
113	0.02	0.22	normal	1721	1	k79_35891
114	0.02	0.25	normal	1484	1	k79_3818
115	None	None	loner	1229	1	k79_5919
116	None	None	loner	1003	1	k79_20851
117	0.145	0.45	normal	84159	64	k79_15585
118	0.1	0.4	normal	22753	13	k79_35346
119	0.025	0.14	normal	1712	1	k79_30116
120	None	None	loner	1364	1	k79_7086
121	0.02	0.43	normal	1285	1	k79_36186
122	None	None	loner	1184	1	k79_8114
123	None	None	loner	1129	1	k79_2159
124	None	None	loner	1127	1	k79_25491
125	None	None	loner	1048	1	k79_12348
126	None	None	loner	1038	1	k79_3167
127	0.06	None	fallback	3485	3	k79_27655
