# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_2	cds	79	939	+	LANIFM_0001		hypothetical protein	PFAM:PF08029.16
contig_2	cds	936	1427	+	LANIFM_0002		hypothetical protein	PFAM:PF12724.12
contig_2	cds	1499	1708	-	LANIFM_0003		hypothetical protein	
contig_3	cds	135	1337	-	LANIFM_0004		hypothetical protein	
contig_3	cds	1330	1773	-	LANIFM_0005		hypothetical protein	
contig_5	cds	177	482	-	LANIFM_0006		hypothetical protein	
contig_5	cds	493	750	-	LANIFM_0007		hypothetical protein	
contig_5	cds	758	1402	-	LANIFM_0008		hypothetical protein	
contig_6	cds	23	589	-	LANIFM_0009		hypothetical protein	
contig_7	cds	901	1806	-	LANIFM_0010		hypothetical protein	PFAM:PF13240.11, PFAM:PF13248.11
contig_7	cds	1803	2312	-	LANIFM_0011		hypothetical protein	PFAM:PF13240.11
contig_7	cds	2314	3438	-	LANIFM_0012		hypothetical protein	
contig_8	cds	450	1640	-	LANIFM_0013		hypothetical protein	
contig_9	cds	130	540	-	LANIFM_0014		hypothetical protein	
contig_9	cds	622	1713	-	LANIFM_0015		hypothetical protein	PFAM:PF01336.31, PFAM:PF13742.12
contig_10	cds	103	648	+	LANIFM_0016		hypothetical protein	PFAM:PF19289.4
contig_10	cds	645	899	-	LANIFM_0017		hypothetical protein	
contig_10	cds	908	1369	-	LANIFM_0018		hypothetical protein	PFAM:PF06445.20
contig_10	cds	1398	2627	-	LANIFM_0019		hypothetical protein	PFAM:PF00994.29, PFAM:PF03454.20
contig_11	cds	18	1691	+	LANIFM_0020		Heavy metal translocating P-type ATPase	SO:0001217, UniRef:UniRef50_A0A496U3F2
contig_11	cds	1697	2086	-	LANIFM_0021		hypothetical protein	
contig_12	cds	24	482	+	LANIFM_0022		hypothetical protein	PFAM:PF01467.32
contig_12	cds	600	791	+	LANIFM_0023		hypothetical protein	PFAM:PF00037.32, PFAM:PF12837.12
contig_12	cds	781	1038	-	LANIFM_0024		hypothetical protein	
contig_13	cds	783	974	+	LANIFM_0025		hypothetical protein	
contig_14	cds	145	1056	+	LANIFM_0026		hypothetical protein	PFAM:PF00398.26, PFAM:PF02475.23, PFAM:PF05175.20, PFAM:PF08241.18, PFAM:PF13649.12, PFAM:PF13847.12
contig_14	cds	1063	1644	+	LANIFM_0027		hypothetical protein	PFAM:PF05175.20, PFAM:PF08241.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
contig_14	cds	1662	2522	-	LANIFM_0028		hypothetical protein	PFAM:PF01678.24
contig_14	cds	2531	3601	-	LANIFM_0029		hypothetical protein	PFAM:PF00278.28, PFAM:PF02784.22
contig_15	cds	80	1174	+	LANIFM_0030		Inositol-3-phosphate synthase	SO:0001217, UniRef:UniRef50_Q8NLE6
contig_16	cds	550	1134	-	LANIFM_0031		hypothetical protein	PFAM:PF21831.1
contig_16	cds	1139	1834	-	LANIFM_0032		hypothetical protein	
contig_17	cds	417	1040	-	LANIFM_0033		hypothetical protein	PFAM:PF00440.29
contig_18	cds	278	1645	-	LANIFM_0034		hypothetical protein	PFAM:PF00809.28, PFAM:PF14251.12
contig_19	cds	31	372	+	LANIFM_0035		UPF0145 protein SCO3412	SO:0001217, UniRef:UniRef50_Q9X8J2
contig_19	cds	432	1181	+	LANIFM_0036		hypothetical protein	
contig_19	cds	1178	1576	-	LANIFM_0037		hypothetical protein	
contig_19	cds	1581	2099	-	LANIFM_0038		hypothetical protein	PFAM:PF01381.28
contig_20	cds	47	1084	+	LANIFM_0039		hypothetical protein	PFAM:PF00070.33, PFAM:PF07992.20
contig_20	cds	1087	2133	-	LANIFM_0040		hypothetical protein	
contig_20	cds	2140	3102	-	LANIFM_0041		hypothetical protein	
contig_21	tRNA	300	384	+	LANIFM_0042	trnS	tRNA-Ser(gga)	SO:0000269
contig_21	cds	580	1023	+	LANIFM_0043		hypothetical protein	
contig_23	cds	88	1221	-	LANIFM_0044		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_UPI00256EFEE5
contig_24	cds	125	919	-	LANIFM_0045		hypothetical protein	
contig_25	cds	50	1339	+	LANIFM_0046		RNA helicase	SO:0001217, UniRef:UniRef50_A0A0P7YFH7
contig_25	cds	1340	2143	-	LANIFM_0047		hypothetical protein	PFAM:PF01047.28, PFAM:PF13412.12, PFAM:PF13463.12
contig_25	cds	2199	3620	-	LANIFM_0048		hypothetical protein	PFAM:PF01368.27, PFAM:PF02272.25, PFAM:PF21763.2
contig_25	cds	3617	3886	-	LANIFM_0049		hypothetical protein	
contig_25	cds	3905	4999	-	LANIFM_0050		UDP-galactopyranose mutase	SO:0001217, UniRef:UniRef50_A0A7S6UFQ3
contig_26	cds	68	226	+	LANIFM_0051		hypothetical protein	
contig_26	cds	223	1089	-	LANIFM_0052		hypothetical protein	
