#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	79	939	+	LANIFM_0001	31.2	4.8	PF08029.16|HisG_C	PFAM:PF08029.16
contig_2	936	1427	+	LANIFM_0002	18.4	9.5	PF12724.12|Flavodoxin_5	PFAM:PF12724.12
contig_2	1499	1708	-	LANIFM_0003	7.8	5.4		
contig_3	135	1337	-	LANIFM_0004	44.4	4.8		
contig_3	1330	1773	-	LANIFM_0005	16.5	5.9		
contig_5	177	482	-	LANIFM_0006	11.1	6.7		
contig_5	493	750	-	LANIFM_0007	9.7	8.8		
contig_5	758	1402	-	LANIFM_0008	23.3	7.8		
contig_6	23	589	-	LANIFM_0009	20.8	9.3		
contig_7	901	1806	-	LANIFM_0010	34.4	6.8	PF13240.11|Zn_Ribbon_1, PF13248.11|Zn_ribbon_3	PFAM:PF13240.11, PFAM:PF13248.11
contig_7	1803	2312	-	LANIFM_0011	19.5	9.5	PF13240.11|Zn_Ribbon_1	PFAM:PF13240.11
contig_7	2314	3438	-	LANIFM_0012	41.4	4.8		
contig_8	450	1640	-	LANIFM_0013	42.9	5.0		
contig_9	130	540	-	LANIFM_0014	15.6	6.4		
contig_9	622	1713	-	LANIFM_0015	40.8	9.5	PF01336.31|tRNA_anti-codon, PF13742.12|tRNA_anti_2	PFAM:PF01336.31, PFAM:PF13742.12
contig_10	103	648	+	LANIFM_0016	19.6	5.6	PF19289.4|PmbA_TldD_3rd	PFAM:PF19289.4
contig_10	645	899	-	LANIFM_0017	9.9	9.5		
contig_10	908	1369	-	LANIFM_0018	17.2	4.5	PF06445.20|GyrI-like	PFAM:PF06445.20
contig_10	1398	2627	-	LANIFM_0019	44.2	4.6	PF00994.29|MoCF_biosynth, PF03454.20|MoeA_C	PFAM:PF00994.29, PFAM:PF03454.20
contig_11	1697	2086	-	LANIFM_0021	13.7	6.0		
contig_12	24	482	+	LANIFM_0022	16.9	4.9	PF01467.32|CTP_transf_like	PFAM:PF01467.32
contig_12	600	791	+	LANIFM_0023	6.7	4.1	PF00037.32|Fer4, PF12837.12|Fer4_6	PFAM:PF00037.32, PFAM:PF12837.12
contig_12	781	1038	-	LANIFM_0024	9.2	8.0		
contig_13	783	974	+	LANIFM_0025	7.0	9.9		
contig_14	145	1056	+	LANIFM_0026	34.7	9.2	PF00398.26|RrnaAD, PF02475.23|TRM5-TYW2_MTfase, PF05175.20|MTS, PF08241.18|Methyltransf_11, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31	PFAM:PF00398.26, PFAM:PF02475.23, PFAM:PF05175.20, PFAM:PF08241.18, PFAM:PF13649.12, PFAM:PF13847.12
contig_14	1063	1644	+	LANIFM_0027	21.7	4.1	PF05175.20|MTS, PF08241.18|Methyltransf_11, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31	PFAM:PF05175.20, PFAM:PF08241.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
contig_14	1662	2522	-	LANIFM_0028	31.3	4.6	PF01678.24|DAP_epimerase	PFAM:PF01678.24
contig_14	2531	3601	-	LANIFM_0029	39.2	4.7	PF00278.28|Orn_DAP_Arg_deC, PF02784.22|Orn_Arg_deC_N	PFAM:PF00278.28, PFAM:PF02784.22
contig_16	550	1134	-	LANIFM_0031	22.7	4.1	PF21831.1|DUF6891	PFAM:PF21831.1
contig_16	1139	1834	-	LANIFM_0032	26.5	4.6		
contig_17	417	1040	-	LANIFM_0033	24.7	4.8	PF00440.29|TetR_N	PFAM:PF00440.29
contig_18	278	1645	-	LANIFM_0034	50.4	4.9	PF00809.28|Pterin_bind, PF14251.12|PterinBD-DUF4346	PFAM:PF00809.28, PFAM:PF14251.12
contig_19	432	1181	+	LANIFM_0036	28.2	4.3		
contig_19	1178	1576	-	LANIFM_0037	15.3	5.0		
contig_19	1581	2099	-	LANIFM_0038	19.5	5.4	PF01381.28|HTH_3	PFAM:PF01381.28
contig_20	47	1084	+	LANIFM_0039	38.2	4.6	PF00070.33|Pyr_redox, PF07992.20|Pyr_redox_2	PFAM:PF00070.33, PFAM:PF07992.20
contig_20	1087	2133	-	LANIFM_0040	37.9	8.5		
