contigName	contigLen	totalAvgDepth	ERR011349_ERR011349.sorted.bam	ERR011349_ERR011349.sorted.bam-var
k79_13791	335	6.21925	6.21693	2.70269
k79_32179	406	8.00388	8.00388	7.10894
k79_22985	452	5.52961	5.52961	3.8407
k79_0	253	5.45714	5.45714	1.05824
k79_22986	316	2.52976	2.52976	0.322462
k79_1	237	15.3708	15.3708	8.98595
k79_13792	527	4.5277	4.5277	0.641426
k79_22987	265	3.32479	3.32479	0.445328
k79_18388	772	8.00961	8.00961	18.0512
k79_2	291	2.11888	2.11888	0.640696
k79_9194	343	9.0359	9.0359	5.07602
k79_13793	240	2.82609	2.82609	0.65074
k79_18389	386	4.65546	4.65546	4.51371
k79_13794	270	1.56557	1.56557	0.26426
k79_32180	887	11.6103	11.6103	17.6664
k79_3	383	5.65957	5.65957	2.6614
k79_9195	352	11.1176	11.1176	38.4393
k79_18390	241	8.63441	8.63441	3.43011
k79_32181	267	5.20168	5.20168	0.95898
k79_9196	265	3.28205	3.28205	0.704243
k79_13795	367	3.62557	3.62557	1.42797
k79_32182	237	6.70787	6.70787	3.80005
k79_4	422	3.98905	3.98905	1.95225
k79_18391	394	3.69106	3.69106	1.20212
k79_32183	278	2.85385	2.85385	0.916458
k79_13796	273	2.072	2.072	0.760903
k79_9197	387	9.97071	9.97071	10.0874
k79_5	306	5.70253	5.70253	0.936426
k79_18392	290	3.21831	3.21831	1.57612
k79_32184	282	4.52239	4.52239	1.00325
k79_22988	1307	7.01984	7.01984	12.1196
k79_6	248	9.17	9.17	3.9203
k79_18393	287	7.26619	7.26619	12.2837
k79_32185	291	3.94406	3.94406	2.4053
k79_9198	460	9.91987	9.91987	12.6849
k79_7	241	4.58065	4.58065	1.57223
k79_22989	296	3.85811	3.85811	3.3879
k79_13797	708	3.97321	3.97321	1.96171
k79_8	245	5.23711	5.23711	0.849441
k79_9199	279	3.51145	3.51145	1.26718
k79_9	274	4.53968	4.53968	0.890413
k79_13798	337	6.55026	6.55026	3.16369
k79_18394	630	5.15768	5.15768	8.15804
k79_18395	253	2.6	2.6	0.434616
k79_13799	258	4.6	4.6	2.04037
k79_10	310	6.85802	6.85802	7.05426
k79_22990	659	8.80626	8.80626	12.7291
k79_9200	480	18.8735	18.8743	128.777
k79_22991	237	8.44944	8.45055	4.0503
k79_18396	284	5.42647	5.42754	2.6115
k79_13800	369	4.78733	4.78924	2.40133
k79_9201	373	5.77778	5.77974	1.99552
k79_18397	316	7.33333	7.33529	6.40171
k79_11	528	7.55789	7.55759	15.6069
k79_22992	391	3.40329	3.40408	3.10244
k79_13801	420	4.70588	4.70438	2.00386
k79_18398	246	3.13265	3.13	1.28596
k79_12	274	4.05556	4.05469	2.1151
k79_9202	376	3.55263	3.55217	0.676304
k79_22993	283	5.02222	5.0219	5.88922
k79_13802	340	6.16667	6.16495	4.94675
k79_13	282	4.91791	4.91912	2.19341
k79_18399	379	15.2727	15.2747	19.0794
k79_22994	336	13.5053	13.5053	11.2143
k79_14	274	9.28571	9.28906	4.72681
k79_32186	1871	63.0418	63.0418	767.434
k79_13803	310	3.02469	3.02469	1.10498
k79_9203	589	5.06349	5.06349	2.55506
k79_18400	313	3.6	3.6	0.619513
k79_22995	392	11.1107	11.1107	9.62145
k79_15	305	17.7516	17.7516	13.8546
k79_13804	316	4.64286	4.64286	1.53636
k79_16	237	6.61798	6.61798	1.57967
k79_32187	479	8.66163	8.66163	16.9336
k79_22996	276	5.50781	5.50781	2.48813
k79_18401	597	7.26058	7.26058	7.77791
k79_22997	310	4.2037	4.2037	2.83403
k79_9204	715	4.83598	4.83598	4.50838
k79_22998	278	1.91538	1.91538	0.388134
k79_32188	563	6.39036	6.39036	3.87624
k79_9205	291	3.20979	3.20979	0.899338
k79_32189	273	9.56	9.56	2.21613
k79_22999	295	9.01361	9.01361	4.23269
k79_18402	564	10.6394	10.6394	26.0239
k79_17	848	6.15429	6.15429	9.08069
k79_23000	257	4.66972	4.66972	2.05658
k79_18403	351	4.71921	4.71921	3.49008
k79_13805	1208	6.77736	6.77736	6.26015
k79_18	335	4.57219	4.57219	2.27836
k79_9206	623	5.33053	5.33053	5.33988
k79_13806	242	3.14894	3.14894	0.708762
k79_18404	309	5.7205	5.7205	3.42764
k79_19	257	4.80734	4.80734	0.527353
k79_32190	648	4.54	4.54	2.13267
k79_20	254	4.33019	4.33019	1.84232
k79_13807	327	3.77095	3.77095	0.773084
k79_18405	348	30.225	30.225	74.4064
k79_9207	501	5.94901	5.94901	6.72467
k79_13808	245	4.24742	4.24742	1.14648
k79_21	333	8.63243	8.63243	3.94025
k79_9208	288	4.12143	4.12143	2.13622
k79_18406	375	3.97357	3.97357	2.10549
k79_32191	632	5.51446	5.51446	6.06396
k79_13809	404	8.37109	8.37109	6.21076
k79_32192	254	3.26415	3.26415	1.60575
k79_13810	249	6.42574	6.42574	0.646931
k79_18407	419	6	6	8.48889
k79_9209	603	4.21538	4.21538	3.99756
k79_22	606	6.30786	6.30786	3.67963
k79_18408	267	5.47899	5.47899	0.794046
k79_13811	360	5.07075	5.07075	3.89545
k79_9210	274	5.86508	5.86508	6.83765
k79_32193	599	10.9002	10.9002	33.77
k79_18409	277	4.17054	4.17054	1.86131
k79_23	240	13.1522	13.1522	10.8118
k79_13812	293	14.3034	14.3034	24.3101
k79_9211	258	2.71818	2.71818	0.461135
k79_18410	270	4.45082	4.45082	1.96864
k79_13813	250	3.69608	3.69608	1.42157
k79_32194	491	14.1924	14.1924	25.4483
k79_18411	296	4.02703	4.02703	0.502666
k79_24	477	8.66565	8.66565	23.5159
k79_25	248	6.75	6.75	2.85606
k79_18412	384	9.30932	9.30932	11.7124
k79_18413	314	9.24096	9.24096	1.46886
k79_32195	648	6.088	6.088	6.53736
k79_23001	2772	9.0263	9.0263	13.8715
k79_32196	252	5.95192	5.95192	2.43456
k79_26	604	11.9649	11.9649	36.2713
k79_23002	286	7.77536	7.77536	3.6791
k79_18414	320	8.11628	8.11628	2.5595
k79_9212	1324	11.4056	11.4056	47.2437
k79_18415	333	6.62703	6.62703	4.86557
k79_23003	351	7.96552	7.96552	1.479
k79_27	250	9.5	9.5	1.34158
k79_18416	276	7.49219	7.49219	22.1731
k79_23004	285	5.08029	5.08029	1.57439
k79_28	298	9.28667	9.28667	5.3468
k79_23005	260	5.77679	5.77679	2.33711
k79_9213	584	6.13761	6.13761	4.49135
k79_4597	342	3.89175	3.89175	0.501175
k79_29	259	2.81982	2.81982	0.803603
k79_27582	237	2.37079	2.37079	0.667772
k79_32197	1092	19.6737	19.6737	79.7685
k79_23006	384	8.03814	8.03814	12.9219
k79_9214	371	6.56951	6.56951	2.46249
k79_4598	427	5.82079	5.82079	8.21956
k79_32198	320	2.55814	2.55814	0.973208
k79_23007	428	4.87143	4.87143	2.8508
k79_9215	488	6.1	6.1	6.66254
k79_27583	880	45.6503	45.6503	319.136
k79_4599	596	4.8125	4.8125	7.14597
k79_23008	355	3.71981	3.71981	1.76577
k79_32199	592	6.00676	6.00676	1.76745
k79_9216	432	7.40845	7.40845	16.8432
k79_27584	268	3.81667	3.81667	1.17619
k79_4600	269	9.41322	9.41322	10.2778
k79_23009	263	5.08696	5.08696	1.79939
k79_32200	239	5.28571	5.28571	0.850793
k79_9217	338	5.37895	5.37895	6.53288
k79_23010	285	5.80292	5.80292	4.93881
k79_4601	365	5.18894	5.18894	3.49655
k79_32201	348	4.74	4.74	3.5401
k79_9218	313	2.55758	2.55758	0.857945
k79_27585	594	11.7152	11.7152	37.4985
k79_23011	339	15.6021	15.6021	19.1356
k79_32202	293	6.57931	6.57931	8.2454
k79_23012	277	3.35659	3.35659	2.30935
k79_32203	330	6.70879	6.70879	1.46721
k79_23013	337	4.05291	4.05291	1.56101
k79_30	2163	20.6913	20.6913	59.4133
k79_32204	255	5.46729	5.46729	2.38336
k79_4602	735	5.1891	5.1891	9.55975
k79_23014	239	7.17582	7.17582	1.54652
k79_27586	785	7.83517	7.83517	7.53412
k79_31	251	5.80583	5.80583	1.72663
k79_32205	286	5.65942	5.65942	11
k79_4603	378	2.50435	2.50435	0.766356
k79_23015	458	4.35161	4.35161	1.69797
k79_32	241	4.26882	4.26882	1.04652
k79_4604	278	4.32308	4.32308	1.4607
k79_32206	485	9.23442	9.23442	16.7931
k79_27587	538	5.75128	5.75128	9.6115
k79_23016	302	3.83117	3.83117	3.76216
k79_27588	252	5.44231	5.44231	2.67625
k79_32207	340	5.04167	5.04167	0.835952
k79_33	293	4.49655	4.49655	1.86284
k79_27589	266	2.66949	2.66949	0.46248
k79_18417	340	3.91667	3.91667	0.579406
k79_4605	695	6.73857	6.73857	7.68428
k79_34	508	6.53889	6.53889	5.50266
k79_32208	537	3.80206	3.80206	1.80865
k79_18418	418	4.50741	4.50741	2.92002
k79_4606	347	11.593	11.593	14.4143
k79_35	324	6.82955	6.82955	2.71363
k79_32209	337	8.98942	8.98942	2.07435
k79_18419	241	5.98925	5.98925	1.83684
k79_4607	299	4.7351	4.7351	2.71603
k79_18420	268	7.54167	7.54167	4.6201
k79_36	321	2.12139	2.12139	0.374715
k79_27590	948	6.49125	6.49125	7.22144
k79_18421	288	5.42143	5.42143	2.87867
k79_37	260	10.6429	10.6429	8.35778
k79_4608	296	2.63514	2.63514	1.17209
k79_23017	376	5.83772	5.83772	8.47135
k79_27591	294	5.54795	5.54795	1.71148
k79_18422	248	3.8	3.8	1.75758
k79_4609	256	2.55556	2.55556	0.249221
k79_38	297	4.79195	4.79195	1.69291
k79_27592	263	3.4087	3.4087	0.313959
k79_18423	295	6.72789	6.72789	1.30901
k79_4610	316	4.21429	4.21429	1.51069
k79_39	278	5.58462	5.58462	3.82612
k79_27593	249	4.41584	4.41584	0.345346
k79_32210	1038	12.6067	12.6067	43.9441
k79_23018	487	7.76106	7.76106	9.45456
k79_40	318	4.06471	4.06471	2.33307
k79_4611	350	4.63366	4.63366	0.581547
k79_23019	360	3.04717	3.04717	1.05937
k79_41	277	5.14729	5.14729	1.36095
k79_23020	336	2.48404	2.48404	0.625412
k79_42	308	13.4187	13.4187	19.0499
k79_4612	497	3.89971	3.89971	2.30888
k79_9219	4135	38.0166	38.0166	729.037
k79_18424	395	3.91093	3.91093	1.10585
k79_23021	373	2.27556	2.27556	0.343373
k79_9220	255	2.28037	2.28037	0.411215
k79_18425	252	5.86538	5.86538	4.48656
k79_4613	456	6.00325	6.00325	8.77848
k79_23022	239	2.89011	2.89011	0.743345
k79_43	244	4.47917	4.47917	2.39956
k79_44	245	4.46392	4.46392	3.25129
k79_9221	330	6.62088	6.62088	2.42454
k79_23023	324	3.85795	3.85795	0.659708
k79_4614	364	2.14352	2.14352	0.402563
k79_9222	243	9.10526	9.10526	1.28667
k79_18426	565	4.07434	4.07434	1.69879
k79_23024	377	3.68122	3.68122	1.51635
k79_4615	429	4.06406	4.06406	0.881597
k79_18427	324	2.95455	2.95455	0.775066
k79_9223	478	2.58182	2.58182	0.930972
k79_4616	353	4.79024	4.79024	2.15677
k79_32211	268	9.225	9.225	3.63803
k79_23025	505	6.5042	6.5042	2.52035
k79_18428	350	3.20297	3.20297	0.411335
k79_32212	250	2.68627	2.68627	0.950108
k79_4617	436	4.94792	4.94792	5.97987
k79_18429	336	4.48936	4.48936	2.89293
k79_23026	418	6.7037	6.7037	1.71857
k79_23027	261	5.38053	5.38053	1.21998
k79_32213	459	71.6238	71.6238	1539.84
k79_4618	382	5.69658	5.69658	4.78737
k79_45	1512	17.6708	17.6708	230.983
k79_9224	850	7.12821	7.12821	13.5727
k79_23028	316	4.64286	4.64286	0.937554
k79_9225	292	9.09028	9.09028	6.80998
k79_23029	282	18.9179	18.9179	26.888
k79_32214	523	4.216	4.216	2.26071
k79_46	460	11.3173	11.3173	198.359
k79_9226	267	5.57143	5.57143	2.17918
k79_4619	638	5.45306	5.45306	2.88225
k79_23030	269	3.33884	3.33884	0.859229
k79_32215	330	4.99451	4.99451	4.77897
k79_4620	257	2.16514	2.16514	0.509514
k79_47	455	8.87622	8.87622	2.3245
k79_9227	480	9.12349	9.12349	18.9304
k79_23031	432	12.2254	12.2254	29.5533
k79_4621	386	5.76891	5.76891	2.19532
k79_48	335	2.83422	2.83422	0.966995
k79_32216	554	8.58621	8.58621	66.0111
k79_18430	1629	7.03241	7.03241	12.6611
k79_4622	265	3.5812	3.5812	1.40068
k79_9228	496	3.71839	3.71839	2.1222
k79_23032	452	4.27961	4.27961	2.50572
k79_49	240	6.3587	6.3587	7.70508
k79_32217	340	8.64583	8.64583	19.1409
k79_18431	296	4.84459	4.84459	4.10494
k79_23033	293	3.44828	3.44828	0.804598
k79_9229	330	4.98352	4.98352	3.34226
k79_32218	273	4.88	4.88	3.47742
k79_50	356	7.21154	7.21154	2.58305
k79_23034	237	11.6966	11.6966	16.191
k79_9230	268	3.84167	3.84167	0.537746
k79_18432	469	8.68224	8.68224	19.6175
k79_32219	315	5.34731	5.34731	0.950941
k79_51	336	8.41489	8.41489	3.44192
k79_23035	332	3.85326	3.85326	2.11496
k79_18433	295	4.63946	4.63946	1.01295
k79_52	244	4.4375	4.4375	0.501316
k79_32220	383	3.3617	3.3617	1.32588
k79_18434	257	5.18349	5.18349	3.85491
k79_23036	491	7.83673	7.83673	7.72765
k79_9231	732	8.62158	8.62158	9.95427
k79_32221	392	7.05738	7.05738	3.42879
k79_53	647	4.73347	4.73347	3.03926
k79_23037	447	3.39465	3.39465	1.61554
k79_18435	687	6.2115	6.2115	2.30091
k79_32222	514	4.0082	4.0082	2.29308
k79_18436	306	4.85443	4.85443	2.60925
k79_23038	356	5.95673	5.95673	1.42324
k79_32223	341	5.03109	5.03109	1.83236
k79_23039	316	4.25595	4.25595	1.5808
k79_32224	324	4.23864	4.23864	6.95985
k79_9232	1155	8.79841	8.79841	15.2287
k79_18437	586	7.73288	7.73288	12.9331
k79_23040	503	3.49577	3.49577	4.19419
k79_32225	358	11.5952	11.5952	3.68705
k79_23041	254	5.5	5.5	1.3381
k79_32226	335	2.78075	2.78075	0.785003
k79_18438	502	5.44068	5.44068	1.94123
k79_9233	562	6.09903	6.09903	6.72383
k79_23042	291	8.81818	8.81818	9.22023
k79_9234	314	3.50602	3.50602	1.25754
k79_23043	278	3.72308	3.72308	2.18629
k79_18439	524	6.43085	6.43085	5.28056
k79_23044	253	5	5	0.923077
k79_9235	306	4.06962	4.06962	0.676651
k79_9236	260	5.04464	5.04464	0.457448
k79_18440	328	4.28889	4.28889	3.34624
k79_23045	362	7.02336	7.02336	11.6567
k79_9237	291	2.45455	2.45455	0.573623
k79_23046	361	3.3615	3.3615	0.958323
k79_9238	310	1.97531	1.97531	0.732306
k79_18441	637	6.50511	6.50511	5.52508
k79_9239	576	5.9486	5.9486	9.17767
k79_23047	843	5.44604	5.44604	3.5587
k79_18442	663	7.03107	7.03107	2.24029
k79_23048	325	2.79661	2.79661	0.969761
k79_54	3533	46.4035	46.4035	762.489
k79_9240	657	8.31041	8.31041	6.57669
k79_23049	240	9.13043	9.13043	2.57621
k79_55	258	4.55455	4.55455	0.79975
k79_9241	273	7.816	7.816	1.40942
k79_23050	260	5.16964	5.16964	1.54754
k79_27594	329	6.62983	6.62983	1.91222
k79_13814	1905	30.7023	30.7023	467.112
k79_23051	374	4.24779	4.24779	3.90277
k79_27595	334	10.1882	10.1882	11.386
k79_9242	516	4.41848	4.41848	4.72904
k79_23052	368	6.04545	6.04545	9.53217
k79_27596	273	8.024	8.024	5.99136
k79_13815	476	5.27439	5.27439	7.5208
k79_56	956	4.75495	4.75495	6.30423
k79_27597	301	10.2026	10.2026	26.5574
k79_13816	290	5.0493	5.0493	1.42309
k79_23053	356	2.48077	2.48077	0.444073
k79_9243	626	3.74477	3.74477	2.68106
k79_57	375	4.23789	4.23789	2.1644
k79_27598	457	6.53722	6.53722	2.22994
k79_9244	423	3.59273	3.59273	0.782428
k79_27599	265	5.92308	5.92308	1.01989
k79_58	470	3.24845	3.24845	1.86955
k79_13817	658	6.92353	6.92353	10.1769
k79_9245	262	4.28947	4.28947	2.79157
k79_27600	259	6.07207	6.07207	1.63112
k79_59	311	5.81595	5.81595	1.79308
k79_9246	280	4.56818	4.56818	4.38463
k79_13818	347	6.20603	6.20603	1.22502
k79_27601	333	6.62162	6.62162	6.43214
k79_9247	252	4.92308	4.92308	2.73189
k79_13819	259	1.91892	1.91892	0.402457
k79_27602	262	9.16667	9.16667	6.4056
k79_60	561	6.15981	6.15981	8.19285
k79_13820	304	4.96154	4.96154	1.05658
k79_4623	7471	47.5126	47.5126	321.615
k79_27603	280	4.78788	4.78788	2.2142
k79_61	276	5.0625	5.0625	1.82283
k79_4624	242	4.31915	4.31915	0.843285
k79_27604	331	3.18579	3.18579	0.547709
k79_62	267	3.08403	3.08403	0.281014
k79_13821	554	7.4335	7.4335	4.12766
k79_4625	321	4.00578	4.00578	1.49415
k79_27605	337	23.7354	23.7354	184.015
k79_27606	286	2.31159	2.31159	0.858404
k79_4626	430	3.42908	3.42908	1.5341
k79_63	488	6.89118	6.89118	6.34506
k79_13822	537	4.4473	4.4473	2.22209
k79_27607	464	6.46203	6.46203	6.45252
k79_64	437	9.25952	9.25952	13.0054
k79_13823	367	6.80365	6.80365	5.22274
