contigName	contigLen	totalAvgDepth	ERR011348_ERR011348.sorted.bam	ERR011348_ERR011348.sorted.bam-var
k79_0	263	6.51261	6.51327	2.37706
k79_48218	264	6.49167	6.49123	2.28753
k79_84380	282	4.68116	4.68182	1.01249
k79_36164	431	4.42857	4.42705	3.20983
k79_12055	482	3.90533	3.90643	2.22582
k79_48219	303	4.89308	4.89571	2.74831
k79_1	329	8.00541	8.00518	10.2552
k79_84381	348	3.25	3.25	0.46327
k79_60272	619	6.22105	6.22153	10.3222
k79_24110	734	6.05254	6.05219	2.98039
k79_60273	269	3.184	3.18605	0.730742
k79_2	422	3.98921	3.98936	1.38423
k79_48220	649	4.58812	4.58777	1.96609
k79_60274	337	3.95337	3.95385	1.36384
k79_3	289	4.13793	4.13605	2.5841
k79_36165	863	6.35744	6.35784	8.58845
k79_12056	828	4.76462	4.76462	4.25636
k79_48221	239	1.95789	1.95789	0.42374
k79_60275	251	8.14953	8.14953	8.9397
k79_84382	776	7.02848	7.02848	4.9881
k79_36166	431	4.95122	4.95156	1.06015
k79_4	512	9.30707	9.3067	68.895
k79_24111	954	5.9358	5.93599	3.5763
k79_5	244	4.31	4.31356	1.77263
k79_60276	584	3.79773	3.79694	4.42913
k79_24112	261	3.93162	3.93333	1.01791
k79_48222	721	3.5078	3.50759	1.87875
k79_24113	493	2.9341	2.93425	0.556104
k79_60277	658	5.79961	5.8	4.11871
k79_24114	262	3.22881	3.23134	0.600213
k79_48223	697	5.83906	5.83951	3.70741
k79_6	854	8.38169	8.38227	8.53882
k79_36167	1121	5.53019	5.52983	8.01254
k79_48224	419	3.67273	3.67247	1.68955
k79_36168	308	5.68902	5.6875	3.77036
k79_60278	920	8.05284	8.05344	6.97042
k79_7	687	8.24862	8.24774	18.6976
k79_48225	544	5.065	5.06585	3.86117
k79_8	247	3.80583	3.80531	0.658186
k79_9	511	3.56403	3.56499	2.04962
k79_72326	3943	7.06133	7.0612	10.5426
k79_36169	1221	8.2247	8.22488	5.0693
k79_10	239	4.13684	4.13861	1.06059
k79_60279	916	4.96373	4.96401	3.49418
k79_72327	259	3.78261	3.78512	3.65344
k79_36170	245	3.21782	3.21495	0.774114
k79_12057	3056	6.08036	6.08019	5.37789
k79_60280	271	4.49606	4.49624	0.706425
k79_36171	249	15.6286	15.6306	6.72597
k79_11	678	3.34831	3.34815	0.750552
k79_48226	1431	4.74903	4.74903	3.40518
k79_12	241	3.37113	3.37624	0.49703
k79_12058	811	4.85457	4.85395	7.97863
k79_48228	255	5.24324	5.24348	0.729672
k79_36172	745	5.38935	5.39008	3.46348
k79_60281	841	5.64275	5.64337	7.90405
