Contig	ERR011347_assembly.fa/ERR011347_corrected_1.fastq.gz Mean	ERR011347_assembly.fa/ERR011347_corrected_1.fastq.gz RPKM	ERR011347_assembly.fa/ERR011347_corrected_1.fastq.gz Covered Fraction
k79_12180	11.125	15.26718	1
k79_0	3.0510204	6.014057	1
k79_48720	4.685185	8.126687	1
k79_85260	3.6186047	8.172526	1
k79_73080	5.821875	11.1068125	1
k79_24360	6.975232	11.351691	1
k79_1	23.74627	39.387836	1
k79_85261	5.1243243	10.240055	1
k79_2	3.7	8.078883	1
k79_73081	3.8598726	6.801565	1
k79_48721	6.714789	10.653473	1
k79_24361	5.1921396	8.657703	1
k79_3	4.54902	8.005152	1
k79_36540	12.043165	21.9782	1
k79_85262	13.217391	22.256031	1
k79_48722	5.7272725	12.42905	1
k79_24362	4.59276	10.050445	1
k79_12181	7.918327	17.318817	1
k79_85263	15.554317	31.35344	1
k79_24363	4.1263156	7.598137	1
k79_4	6.7763157	12.4655	1
k79_12182	9.23967	18.263096	1
k79_48723	8.350967	14.834241	1
k79_73082	15.066853	28.322433	1
k79_12183	7.212245	12.838108	1
k79_48724	2.152381	4.6791725	1
k79_73083	3.3033707	7.488633	1
k79_36541	7.3485713	13.796247	1
k79_5	5.4182444	11.425885	1
k79_36542	4.8453608	9.057609	1
k79_48725	89.57143	151.06693	1
k79_60900	4.145161	7.6207323	1
k79_73084	6.766578	13.584693	1
k79_6	3.7889907	7.5043325	1
k79_73085	6.7118645	11.130493	1
k79_48726	15.611111	30.575466	1
k79_73086	3.22549	7.102315	1
k79_60901	7.296367	13.297053	1
k79_60902	3.9009008	6.8574076	1
k79_7	14.165631	24.740294	1
k79_73087	3.552	7.0845594	1
k79_12184	12.731183	18.643578	1
k79_48727	7.0115275	13.204305	1
k79_60903	6.3781514	11.089116	1
k79_73088	1.6320754	4.6608944	1
k79_36543	4.9495325	9.780237	1
k79_48728	6.478261	9.005199	1
k79_8	2.6666667	5.480527	1
k79_60904	4.4827585	7.3653636	1
k79_73089	5.731707	10.083286	1
k79_12185	7.3712873	13.730288	1
k79_48729	5.9267015	9.622492	1
k79_9	12.193548	19.531366	1
k79_12186	4.9659863	8.537126	1
k79_10	3.1374047	5.838558	1
k79_73090	9.6732025	19.951899	1
k79_60905	5.421978	9.614538	1
k79_48730	11.092592	18.250252	1
k79_11	4.4157305	7.488633	1
k79_73091	11.551471	20.859947	1
k79_12187	4.038062	6.7949257	1
k79_73092	5.7032256	10.758262	1
k79_60906	9.423452	16.31823	1
k79_36544	7.216795	13.929597	1
k79_24364	6.9138575	11.445457	1
k79_12	6.379538	11.442618	1
k79_73093	8.301688	15.775334	1
k79_48731	7.6216516	14.25895	1
k79_73094	8.038889	11.751102	1
k79_12188	10.159151	19.444042	1
k79_73095	5.110465	7.4111114	1
k79_36545	5.7669787	11.438688	1
k79_12189	6.2465754	12.597011	1
k79_48732	5.8991594	10.810773	1
k79_36546	6.732877	11.085371	1
k79_73096	6.715596	11.753559	1
k79_48733	4.7234044	7.335178	1
k79_36547	12.338843	17.061281	1
k79_12190	3.277193	6.1716666	1
k79_48734	6.3072624	9.973464	1
k79_36548	6.15	11.600448	1
k79_24365	6.6901407	12.729882	1
k79_12191	14.137931	23.965761	1
k79_73097	8.136364	14.495708	1
k79_13	25.061886	50.007256	1
k79_60907	13.143131	25.125391	1
k79_24366	8.019672	14.750961	1
k79_36549	6.425163	12.205287	1
k79_24367	3.25	5.4566565	1
k79_12192	5.303371	10.014774	1
k79_60908	5.389744	10.807871	1
k79_36550	3.641892	9.008976	1
k79_48735	10.739185	19.121618	1
k79_73098	7.9238844	13.482361	1
k79_24368	7.162338	12.265511	1
k79_14	4.255618	8.253283	1
k79_12193	4.873494	8.023818	1
k79_60909	2.5416667	5.073082	1
k79_48736	10.604396	16.090721	1
k79_36551	6.098522	11.830484	1
k79_60910	5.2214284	9.2575	1
k79_15	7.6679106	13.202149	0.9665072
k79_36552	8.303317	13.220929	1
k79_48737	4.264881	9.513595	1
