Contig	ERR011349_assembly.fa/ERR011349_corrected_1.fastq.gz Mean	ERR011349_assembly.fa/ERR011349_corrected_1.fastq.gz RPKM	ERR011349_assembly.fa/ERR011349_corrected_1.fastq.gz Covered Fraction
k79_13791	7.156757	26.020617	1
k79_32179	8.886719	22.69708	1
k79_22985	7.7649007	22.040218	1
k79_0	5.446602	14.766075	1
k79_22986	2.5240965	8.669618	1
k79_1	16.51724	34.67847	1
k79_13792	4.5278516	14.650263	1
k79_22987	3.730435	12.217765	1
k79_18388	8.192926	25.808754	1
k79_2	2.0992908	7.702715	1
k79_9194	9.689119	24.687613	1
k79_13793	2.8111112	9.339541	1
k79_18389	4.673729	12.904377	1
k79_13794	1.9833333	7.3793917	1
k79_32180	11.816825	35.940216	1
k79_3	5.935622	16.907091	1
k79_9195	12.227723	31.839348	1
k79_18390	8.648352	19.635	1
k79_32181	5.205128	14.924612	1
k79_9196	3.2608695	11.277938	1
k79_13795	3.9631336	13.572451	1
k79_32182	6.7356324	14.712077	0.9493671
k79_4	3.9963236	11.803529	1
k79_18391	3.6844263	11.378122	1
k79_32183	3.421875	10.750552	1
k79_13796	4.292683	12.772024	1
k79_9197	10.793249	27.672718	1
k79_5	5.724359	16.278069	1
k79_18392	3.2142856	9.446894	1
k79_32184	4.537879	12.364407	1
k79_22988	7.255834	23.05707	1
k79_6	10.336735	23.097794	1
k79_18393	7.270073	19.95907	1
k79_32185	3.9716313	11.982001	1
k79_9198	12.46129	38.982433	1
k79_7	4.571429	13.434473	1
k79_22989	5.1712327	15.986605	1
k79_13797	3.9731183	12.663786	1
k79_8	5.2526317	15.248233	1
k79_9199	3.511628	9.819352	1
k79_9	4.540323	14.543326	1
k79_13798	6.540107	19.953918	1
k79_18394	5.164583	15.812982	1
k79_18395	2.5825243	9.84405	1
k79_13799	4.638889	11.583929	1
k79_10	7.30625	20.88844	1
k79_22990	9.11002	27.210804	1
k79_9200	25.230303	68.489975	1
k79_22991	9.206897	23.11898	1
