ERR011349_MEGAHIT_TaxVamb_Refined.1Ωk79_21281_6	UniRef100_G4SWH9~K13688	32.9	2947	1656	47	8	2701	23	2902	0.0	1549
ERR011348_MEGAHIT_MetaBinner_Refined.1Ωk79_76202_7	UniRef100_A0A1C7IHU7~K03466	50.4	1682	705	9	1	1651	1	1584	0.0	1655
ERR011348_MEGAHIT_MetaBinner_Refined.6_subΩk79_34873_5	UniRef100_A0A089HWM0~K03466	47.1	1543	777	17	3	1519	3	1531	0.0	1378
ERR011348_MEGAHIT_MetaBinner_Refined.1Ωk79_26204_12	UniRef100_G2SXC7~K00284	76.3	1499	353	2	12	1507	27	1525	0.0	2311
ERR011349_MEGAHIT_TaxVamb_Refined.2Ωk79_24313_7	UniRef100_N0B0H2~K03466	44.1	1536	805	20	1	1495	1	1523	0.0	1220
ERR011347_MEGAHIT_TaxVamb_Refined.2Ωk79_59893_1	UniRef100_A5UM94~K02230	69.5	1483	434	9	2	1481	1	1467	0.0	2104
ERR011349_MEGAHIT_TaxVamb_Refined.1Ωk79_24903_3	UniRef100_Q97DN0~K03763	66.5	1467	464	11	34	1491	1	1449	0.0	1915
ERR011347_MEGAHIT_TaxVamb_Refined.43Ωk79_38788_1	UniRef100_C6PQ29~K03763	55.1	1508	591	19	3	1484	2	1449	0.0	1553
ERR011348_MEGAHIT_MetaBinner_Refined.1Ωk79_72597_21	UniRef100_D4L897~K03763	99.4	1452	9	0	1	1452	1	1452	0.0	2863
ERR011348_MEGAHIT_TaxVamb_Refined.5Ωk79_9424_3	UniRef100_E6SRB6~K03046	98.0	1430	29	0	1	1430	1	1430	0.0	2722
ERR011348_MEGAHIT_TaxVamb_Refined.10Ωk79_8427_7	UniRef100_F0R8V8~K03046	96.4	1428	52	0	1	1428	1	1428	0.0	2689
ERR011348_MEGAHIT_TaxVamb_Refined.16Ωk79_63764_3	UniRef100_B2UQY1~K03046	99.6	1398	5	0	1	1398	1	1398	0.0	2752
ERR011348_MEGAHIT_TaxVamb_Refined.5Ωk79_63175_9	UniRef100_Q8A2L2~K01190	71.9	1386	380	6	1	1378	38	1421	0.0	2110
ERR011349_MEGAHIT_TaxVamb_Refined.2Ωk79_10894_12	UniRef100_A0A174Z749~K00284	77.4	1368	307	2	10	1376	24	1390	0.0	2134
ERR011348_MEGAHIT_MetaBinner_Refined.1Ωk79_62867_29	UniRef100_D4L5Z5~K01176	98.9	1328	8	1	1	1322	1	1328	0.0	2496
ERR011348_MEGAHIT_MetaBinner_Refined.1Ωk79_26204_5	UniRef100_D4L4P4~K01955	99.6	1350	5	0	1	1350	1	1350	0.0	2659
ERR011348_MEGAHIT_MetaBinner_Refined.1Ωk79_18584_11	UniRef100_G2T209~K03296	42.1	1386	680	17	1	1340	1	1309	4.46e-251	761
ERR011347_MEGAHIT_TaxVamb_Refined.1Ωk79_28106_3	UniRef100_D4J3S7~K09952	43.2	1365	706	27	7	1332	4	1338	0.0	991
ERR011348_MEGAHIT_TaxVamb_Refined.16Ωk79_63764_2	UniRef100_B2UQY2~K03043	100	1312	0	0	1	1312	1	1312	0.0	2569
ERR011348_MEGAHIT_TaxVamb_Refined.6_subΩk79_42234_2	UniRef100_U2EPN7~K03043	92.4	1285	93	3	1	1282	1	1283	0.0	2354
ERR011348_MEGAHIT_TaxVamb_Refined.10Ωk79_8427_8	UniRef100_F0R8V7~K03043	97.0	1270	38	0	1	1270	1	1270	0.0	2438
ERR011348_MEGAHIT_TaxVamb_Refined.5Ωk79_9424_2	UniRef100_E6SRB5~K03043	98.0	1270	26	0	1	1270	1	1270	0.0	2451
ERR011348_MEGAHIT_TaxVamb_Refined.6_subΩk79_39949_2	UniRef100_D4LRJ4~K16898	62.0	1275	441	6	1	1267	1	1239	0.0	1494
