#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	21	1403	+	BJCDML_00001	51.8	4.8	PF00133.28|tRNA-synt_1, PF08264.19|Anticodon_1, PF10458.14|Val_tRNA-synt_C	PFAM:PF00133.28, PFAM:PF08264.19, PFAM:PF10458.14
contig_2	329	826	+	BJCDML_00003	17.9	9.2		
contig_2	1876	3441	+	BJCDML_00004	58.0	10.0		
contig_4	81	623	+	BJCDML_00017	19.6	10.0		
contig_5	583	1101	-	BJCDML_00043	19.2	5.8		
contig_7	2023	2355	-	BJCDML_00048	11.9	7.7		
contig_8	985	1086	+	BJCDML_00049	3.9	8.8		
contig_9	17056	17202	+	BJCDML_00064	5.9	9.3		SO:0001217, UniParc:UPI0006C21715, UniRef:UniRef100_A0A174GMF5, UniRef:UniRef50_A0A174GMF5, UniRef:UniRef90_A0A174GMF5
contig_11	282	488	+	BJCDML_00075	7.5	7.8		
contig_11	5642	5863	-	BJCDML_00079	8.5	8.0		
contig_15	350	853	+	BJCDML_00086	18.5	10.7		
contig_15	18569	19081	-	BJCDML_00104	19.9	7.8		
contig_21	3	182	-	BJCDML_00115	7.0	8.8		
contig_23	3123	3410	-	BJCDML_00133	10.9	5.5		RefSeq:WP_005828523.1, SO:0001217, UniParc:UPI00015BF7A1, UniRef:UniRef100_R9HSB3, UniRef:UniRef50_R9HSB3, UniRef:UniRef90_R9HSB3
contig_24	812	1489	-	BJCDML_00147	25.5	9.6	PF13342.12|Toprim_Crpt	PFAM:PF13342.12
contig_26	10400	10624	+	BJCDML_00161	8.5	9.0		RefSeq:WP_004326701.1, SO:0001217, UniParc:UPI0001A2494F, UniRef:UniRef100_A0A3E4ZF47, UniRef:UniRef50_K9DUK3, UniRef:UniRef90_K9DUK3
contig_26	11525	11953	+	BJCDML_00163	16.6	5.0		RefSeq:WP_008673371.1, SO:0001217, UniParc:UPI0001A24952, UniRef:UniRef100_A0A8E6L0I9, UniRef:UniRef50_I8W4F0, UniRef:UniRef90_I8W4F0
contig_26	12988	13161	+	BJCDML_00166	6.7	10.0		RefSeq:WP_008673373.1, SO:0001217, UniParc:UPI0001A2572F, UniRef:UniRef100_A0AAW8VI65, UniRef:UniRef50_A0A8E6L7U8, UniRef:UniRef90_A0A8E6L7U8
contig_26	15791	15949	-	BJCDML_00172	6.1	10.5		
contig_26	19361	19936	+	BJCDML_00178	22.1	9.5		SO:0001217, UniRef:UniRef50_A0A3E4ZF58, UniRef:UniRef90_A0A3E4ZF58
contig_26	20937	21278	+	BJCDML_00181	12.9	8.9		RefSeq:WP_117696800.1, SO:0001217, UniParc:UPI000E445A84, UniRef:UniRef100_A0A6L3K4N9, UniRef:UniRef50_A0A1E9C688, UniRef:UniRef90_A0A412VTG0
contig_26	21288	21635	+	BJCDML_00182	13.5	5.3		RefSeq:WP_117696798.1, SO:0001217, UniParc:UPI000E440807, UniRef:UniRef100_A0A7J5GI25, UniRef:UniRef50_A0A6I0JXW9, UniRef:UniRef90_A0A7J5GI25
contig_26	23593	23829	+	BJCDML_00186	9.2	9.3		RefSeq:WP_007846621.1, SO:0001217, UniParc:UPI0002692A19, UniRef:UniRef100_A0A3E4ZF64, UniRef:UniRef50_K9EG35, UniRef:UniRef90_K9EG35
